scientificName,kingdom
Agrostis scabra,plantae
Allium burdickii,plantae
Alnus incana subsp. tenuifolia,plantae
Alnus serrulata,plantae
Amelanchier alnifolia var. humptulipensis,plantae
Amphicarpaea bracteata var. bracteata,plantae
Amphicarpaea bracteata var. comosa,plantae
Arctous rubra,plantae
Betula cordifolia,plantae
Betula minor,plantae
Bromus carinatus,plantae
Bromus carinatus var. marginatus,plantae
Carpinus caroliniana,plantae
Carpinus caroliniana subsp. virginiana,plantae
Cephalanthus occidentalis,plantae
Cephalanthus occidentalis var. occidentalis,plantae
Clinopodium douglasii,plantae
Cornus nuttallii,plantae
Crataegus aquacervensis,plantae
Crataegus atrovirens,plantae
Crataegus beata,plantae
Crataegus brainerdii,plantae
Crataegus calpodendron,plantae
Crataegus canadensis,plantae
Crataegus castlegarensis,plantae
Crataegus chrysocarpa,plantae
Crataegus chrysocarpa var. blanchardii,plantae
Crataegus chrysocarpa var. chrysocarpa,plantae
Crataegus chrysocarpa var. foxonii,plantae
Crataegus chrysocarpa var. phoenicieoides,plantae
Crataegus chrysocarpa var. piperi,plantae
Crataegus chrysocarpa var. subrotundifolia,plantae
Crataegus chrysocarpa var. vernonensis,plantae
Crataegus chrysocarpa var. virgintistamina,plantae
Crataegus coccinea,plantae
Crataegus coccinea var. coccinea,plantae
Crataegus coccinea var. fulleriana,plantae
Crataegus coccinea var. pringlei,plantae
Crataegus coccinoides,plantae
Crataegus cognata,plantae
Crataegus compacta,plantae
Crataegus crus-galli,plantae
Crataegus crus-galli var. crus-galli,plantae
Crataegus cupressocollina,plantae
Crataegus dodgei,plantae
Crataegus enderbyensis,plantae
Crataegus flabellata,plantae
Crataegus florifera,plantae
Crataegus fluviatilis,plantae
Crataegus formosa,plantae
Crataegus gaylussacia,plantae
Crataegus holmesiana,plantae
Crataegus intricata,plantae
Crataegus irrasa,plantae
Crataegus jesupii,plantae
Crataegus jonesiae,plantae
Crataegus knieskerniana,plantae
Crataegus laevigata,plantae
Crataegus lemingtonensis,plantae
Crataegus lumaria,plantae
Crataegus macrosperma,plantae
Crataegus magniflora,plantae
Crataegus margarettae,plantae
Crataegus margarettae var. angustifolia,plantae
Crataegus margarettae var. margarettae,plantae
Crataegus mollis,plantae
Crataegus mollis var. incisifolia,plantae
Crataegus mollis var. mollis,plantae
Crataegus nitidula,plantae
Crataegus okanagensis,plantae
Crataegus okanagensis var. okanagensis,plantae
Crataegus okanagensis var. wellsii,plantae
Crataegus okennonii,plantae
Crataegus orbicularis,plantae
Crataegus pennsylvanica,plantae
Crataegus perjucunda,plantae
Crataegus persimilis,plantae
Crataegus phippsii,plantae
Crataegus populnea,plantae
Crataegus prona,plantae
Crataegus pruniosa,plantae
Crataegus pruniosa var. dissona,plantae
Crataegus pruniosa var. parvula,plantae
Crataegus pruniosa var. pruinosa,plantae
Crataegus pruniosa var. rugosa,plantae
Crataegus pruniosa var. virella,plantae
Crataegus punctata,plantae
Crataegus purpurella,plantae
Crataegus rivuloadamensis,plantae
Crataegus rivulopugnensis,plantae
Crataegus rubribracteolata,plantae
Crataegus scabrida,plantae
Crataegus scabrida var. asperifolia,plantae
Crataegus scabrida var. cyclophylla,plantae
Crataegus scabrida var. egglestonii,plantae
Crataegus scabrida var. scabrida,plantae
Crataegus schuttei,plantae
Crataegus schuttei var. schuttei,plantae
Crataegus sheila-phippsiae,plantae
Crataegus sheila-phippsiae var. saskatchewensis,plantae
Crataegus sheila-phippsiae var. sheila-phippsiae,plantae
Crataegus sheridana,plantae
Crataegus shuswapensis,plantae
Crataegus stolonifera,plantae
Crataegus submollis,plantae
Crataegus suborbiculata,plantae
Crataegus succulenta,plantae
