"","speciesKey"
"1",2997679
"2",2704895
"3",2882849
"4",2706373
"5",2882895
"6",2706066
"7",2986124
"8",3034741
"9",2882940
"10",2986164
"11",5387859
"12",6109534
"13",2873876
"14",2882965
"15",2882861
"16",2984481
"17",4129467
"18",7934809
"19",3023529
"20",2752808
"21",2888553
"22",8344892
"23",7677928
"24",2986112
"25",8147903
"26",2873933
"27",4149534
"28",2991466
"29",5290269
"30",5290282
"31",3054325
"32",3001166
"33",2994912
"34",2705081
"35",2706052
"36",2882913
"37",3158040
"38",3119249
"39",3021850
"40",2986111
"41",3119209
"42",8112114
"43",2856866
"44",3054302
"45",5290318
"46",2855611
"47",2882868
"48",5290259
"49",3020783
"50",8073364
"51",2706070
"52",2703228
"53",2986159
"54",2986208
"55",2989228
"56",2998290
"57",2882880
"58",2993094
"59",3119225
"60",7915743
"61",2992071
"62",3119148
"63",7393941
"64",5372385
"65",3054296
"66",2986121
"67",8110785
"68",2857196
"69",3021106
"70",2986127
"71",3119185
"72",3001080
"73",2882835
"74",5290326
"75",2991369
"76",2876032
"77",7950792
"78",3021170
"79",3189859
"80",2706064
"81",5372400
"82",8202030
"83",2993761
"84",2856745
"85",3029817
"86",3054357
"87",3119206
"88",8383191
"89",2882910
"90",2882833
"91",5290327
"92",5333230
"93",2986152
"94",3119240
"95",2856301
"96",2856154
"97",2857894
"98",2855724
"99",2882838
"100",2986140
"101",8235931
"102",2993074
"103",3054352
"104",2876060
"105",2990646
"106",3119175
"107",2986132
"108",2986130
"109",7833581
"110",2986116
"111",2986194
"112",2882961
"113",2986150
"114",2882875
"115",2857353
"116",3119211
"117",2989061
"118",3021605
"119",2989749
"120",2991408
"121",2986189
"122",2986193
"123",2998283
"124",2997456
"125",3054334
"126",2986142
