,speciesKey
1,2992055
2,6369034
3,2991408
4,2998290
5,2999707
6,2992071
7,2993094
8,2993094
9,2993119
10,2997456
11,8110785
12,7878925
13,2998283
14,2994229
15,2991466
16,2994912
17,2993074
18,2989061
19,2993761
20,2990646
21,6391790
22,5328909
23,5372665
24,5373032
25,5372597
26,5372559
27,6362955
28,5372561
29,6362957
30,5582533
31,7225949
32,5372987
33,5372732
34,5372693
35,5372722
36,7587287
37,5372832
38,6369880
39,6369819
40,2888723
41,3034845
42,2704432
43,6448990
44,2710926
45,7070386
46,8296746
47,5362024
48,8955469
49,7219267
50,5689800
51,5362046
52,6441253
53,7172263
54,5372429
55,5372427
56,3092564
57,4208355
58,3092576
59,7223120
60,3034526
61,7779378
62,3012350
63,3012298
64,3012319
65,6286630
66,3013175
67,3027159
68,7219900
69,6287827
70,7523753
71,7222019
72,6369607
73,5284555
74,5284570
75,2684178
76,2684171
77,3152042
78,2765272
79,5359034
80,5358858
81,7224418
82,5359025
83,5358789
84,5359492
85,7930596
86,7930596
87,5358922
88,5359148
89,2865368
90,2687182
91,2687210
92,2687201
93,5289423
94,5361872
95,5361867
96,5361875
97,7960979
98,7960979
99,2882832
100,2882868
