occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
,Duarctopoa labradorica,Duarctopoa labradorica (Steud.) Soreng & L.J.Gillespie,4120379,EXACT,99,SYNONYM,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dupoa,Dupoa labradorica,Duarctopoa labradorica,Soreng & L.J.Gillespie (Steud.)
,Abies amabilis,Abies amabilis Douglas ex J.Forbes,2685524,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies amabilis,Abies amabilis,Douglas ex J.Forbes
,Abies balsamea,Abies balsamea (L.) Mill.,2685383,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea,Abies balsamea,Mill. (L.)
,Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,2685361,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies grandis,Abies grandis,Lindl. (Douglas ex D.Don)
,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,2685313,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies lasiocarpa,Abies lasiocarpa,Nutt. (Hook.)
,Acer circinatum,Acer circinatum Pursh,3189884,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer circinatum,Acer circinatum,Pursh
,Acer glabrum,Acer glabrum Torr.,3189864,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer glabrum,Acer glabrum,Torr.
,Acer glabrum var. douglasii,Acer glabrum var. douglasii (Hook.) Dippel,3767823,EXACT,99,ACCEPTED,VARIETY,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer glabrum,Acer glabrum douglasii,Dippel (Hook.)
,Acer macrophyllum,Acer macrophyllum Pursh,3189835,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer macrophyllum,Acer macrophyllum,Pursh
,Acer negundo,Acer negundo L.,3189866,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer negundo,Acer negundo,L.
,Acer negundo var. negundo,Acer negundo var. negundo,8294772,EXACT,99,ACCEPTED,VARIETY,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer negundo,Acer negundo negundo,L.
