,speciesKey
1,2703238
2,3023858
3,3855057
4,3024000
5,8317978
6,2882596
7,2873956
8,5343135
9,4107931
10,7805048
11,3082260
12,2876033
13,2876038
14,2702574
15,2702544
16,2702595
17,4148267
18,7985821
19,2702560
20,2702552
21,2702674
23,2702674
24,7985821
25,4123896
26,2702646
27,2702547
28,2702683
29,5290276
30,5290282
31,5290282
32,2705033
33,2705033
34,2960773
35,3034827
36,4129467
37,2964538
38,3033865
39,10879791
40,7696337
41,5290148
42,7226919
43,2704205
44,4115160
45,2704325
46,2704229
47,2704306
48,4270535
49,4128839
50,4120665
51,2704279
52,4926711
53,7272211
54,5366874
56,7272211
57,3021279
58,3853672
59,5671821
60,4194303
61,2986172
62,2998528
63,7258954
64,5372559
65,5372559
66,5372604
67,7974387
68,6441797
69,6441798
70,7777960
71,3855419
72,6369733
73,7225461
74,4139194
