occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
,"Agrostis scabra","Agrostis scabra Willd.","2706444","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis scabra","Agrostis scabra","Willd."
,"Allium burdickii","Allium tricoccum var. burdickii Hanes","2857169","EDITED",,"ACCEPTED","VARIETY","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium tricoccum","Allium tricoccum burdickii","Hanes"
,"Alnus incana subsp. tenuifolia","Alnus incana subsp. tenuifolia (Nutt.) Breitung","2876460","EXACT","100","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus incana","Alnus incana tenuifolia","Breitung (Nutt.)"
,"Alnus serrulata","Alnus serrulata (Aiton) Willd.","2876528","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus serrulata","Alnus serrulata","Willd. (Aiton)"
,"Amelanchier alnifolia var. humptulipensis","Amelanchier alnifolia var. humptulipensis (G.N.Jones) C.L.Hitchc.","3023907","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier alnifolia","Amelanchier alnifolia humptulipensis","C.L.Hitchc. (G.N.Jones)"
,"Amphicarpaea bracteata var. bracteata","Amphicarpaea bracteata (L.) Fernald","2960161","EDITED",,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Amphicarpaea","Amphicarpaea bracteata","Amphicarpaea bracteata","Fernald (L.)"
,"Amphicarpaea bracteata var. comosa","Amphicarpaea bracteata var. comosa (L.) C.F.Reed","7427412","EXACT","99","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Amphicarpaea","Amphicarpaea bracteata","Amphicarpaea bracteata comosa","C.F.Reed (L.)"
,"Arctous rubra","Arctous rubra (Rehder & E.H.Wilson) Nakai","2882597","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos rubra","Arctous rubra","Nakai (Rehder & E.H.Wilson)"
,"Betula cordifolia","Betula cordifolia Regel","5332147","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula cordifolia","Betula cordifolia","Regel"
,"Betula minor","Betula minor (Tuck.) Fernald","5331584","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula minor","Betula minor","Fernald (Tuck.)"
,"Bromus carinatus","Bromus carinatus Hook. & Arn.","2703712","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus carinatus","Bromus carinatus","Hook. & Arn."
,"Bromus carinatus var. marginatus","Bromus carinatus var. marginatus (Nees ex Steud.) Barkworth & Anderton","4932863","EXACT","98","SYNONYM","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus marginatus","Bromus carinatus marginatus","Barkworth & Anderton (Nees ex Steud.)"
,"Carpinus caroliniana","Carpinus caroliniana Walter","2875842","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Carpinus","Carpinus caroliniana","Carpinus caroliniana","Walter"
,"Carpinus caroliniana subsp. virginiana","Carpinus caroliniana subsp. virginiana (Marshall) Furlow","2875843","EXACT","99","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Carpinus","Carpinus caroliniana","Carpinus caroliniana virginiana","Furlow (Marshall)"
,"Cephalanthus occidentalis","Cephalanthus occidentalis L.","2923947","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Cephalanthus","Cephalanthus occidentalis","Cephalanthus occidentalis","L."
,"Cephalanthus occidentalis var. occidentalis","Cephalanthus occidentalis f. occidentalis","8152722","EXACT","98","SYNONYM","FORM","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Cephalanthus","Cephalanthus occidentalis","Cephalanthus occidentalis occidentalis",
,"Clinopodium douglasii","Clinopodium douglasii (Benth.) Kuntze","2926908","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Micromeria","Micromeria douglasii","Clinopodium douglasii","Kuntze (Benth.)"
,"Cornus nuttallii","Cornus nuttallii Audubon ex Torr. & A.Gray","8288790","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","Cornus nuttallii","Cornus nuttallii","Audubon ex Torr. & A.Gray"
,"Crataegus aquacervensis","Crataegus aquacervensis J.B.Phipps & O'Kennon","3013746","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus aquacervensis","Crataegus aquacervensis","J.B.Phipps & O'Kennon"
,"Crataegus atrovirens","Crataegus atrovirens J.B.Phipps & O'Kennon","3015794","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus atrovirens","Crataegus atrovirens","J.B.Phipps & O'Kennon"
,"Crataegus beata","Crataegus beata Sarg.","3015442","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus beata","Crataegus beata","Sarg."
,"Crataegus brainerdii","Crataegus brainerdii Sarg.","3014175","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus brainerdii","Crataegus brainerdii","Sarg."
,"Crataegus calpodendron","Crataegus calpodendron (Ehrh.) Medik.","3013866","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus calpodendron","Crataegus calpodendron","Medik. (Ehrh.)"
,"Crataegus canadensis","Crataegus canadensis Sarg.","3014793","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus canadensis","Crataegus canadensis","Sarg."
,"Crataegus castlegarensis","Crataegus castlegarensis J.B.Phipps & O'Kennon","3016092","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus castlegarensis","Crataegus castlegarensis","J.B.Phipps & O'Kennon"
,"Crataegus chrysocarpa","Crataegus chrysocarpa Ashe","3015853","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus chrysocarpa","Crataegus chrysocarpa","Ashe"
,"Crataegus chrysocarpa var. blanchardii","Crataegus chrysocarpa var. blanchardii (Sarg.) J.B.Phipps","3015871","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus chrysocarpa","Crataegus chrysocarpa blanchardii","J.B.Phipps (Sarg.)"
,"Crataegus chrysocarpa var. chrysocarpa","Crataegus chrysocarpa var. chrysocarpa","7219969","EXACT","99","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus chrysocarpa","Crataegus chrysocarpa chrysocarpa","Ashe"
,"Crataegus chrysocarpa var. foxonii","Crataegus chrysocarpa var. faxonii (Sarg.) Eggl.","3015870","EDITED","96","SYNONYM","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus chrysocarpa","Crataegus chrysocarpa faxonii","Eggl. (Sarg.)"
,"Crataegus chrysocarpa var. phoenicieoides","Crataegus chrysocarpa var. phoeniceoides J.B.Phipps & Sennikov","7878347","EDITED","96","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus chrysocarpa","Crataegus chrysocarpa phoeniceoides","J.B.Phipps & Sennikov"
,"Crataegus chrysocarpa var. piperi","Crataegus chrysocarpa var. piperi (Britton) Kruschke","3013939","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus chrysocarpa","Crataegus chrysocarpa piperi","Kruschke (Britton)"
,"Crataegus chrysocarpa var. subrotundifolia","Crataegus chrysocarpa var. subrotundifolia (Sarg.) Phipps","3015874","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus chrysocarpa","Crataegus chrysocarpa subrotundifolia","Phipps (Sarg.)"
,"Crataegus chrysocarpa var. vernonensis","Crataegus chrysocarpa var. vernonensis J.B.Phipps & O'Kennon","3015873","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus chrysocarpa","Crataegus chrysocarpa vernonensis","J.B.Phipps & O'Kennon"
,"Crataegus chrysocarpa var. virgintistamina","Crataegus chrysocarpa Ashe","3015853","EDITED","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus chrysocarpa","Crataegus chrysocarpa","Ashe"
,"Crataegus coccinea","Crataegus coccinea L.","7790614","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus coccinea","Crataegus coccinea","L."
,"Crataegus coccinea var. coccinea","Crataegus coccinea var. coccinea","3015572","EXACT","100","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus coccinea","Crataegus coccinea coccinea","Linnaeus"
,"Crataegus coccinea var. fulleriana","Crataegus coccinea var. fulleriana (Sarg.) J.A.Macklin & J.B.Phipps","7707712","EXACT","99","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus coccinea","Crataegus coccinea fulleriana","J.A.Macklin & J.B.Phipps (Sarg.)"
,"Crataegus coccinea var. pringlei","Crataegus coccinea var. pringlei (Sarg.) J.A.Macklin & J.B.Phipps","3015588","EDITED","99","SYNONYM","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus pringlei","Crataegus coccinea pringlei","J.A.Macklin & J.B.Phipps (Sarg.)"
,"Crataegus coccinoides","Crataegus coccinioides Ashe","3014860","EDITED","96","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus coccinioides","Crataegus coccinioides","Ashe"
,"Crataegus cognata","Crataegus cognata Sarg.","3015009","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus pruinosa","Crataegus cognata","Sarg."
,"Crataegus compacta","Crataegus compacta Sarg.","3015396","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus compacta","Crataegus compacta","Sarg."
,"Crataegus crus-galli","Crataegus crus-galli L.","3013404","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus crus-galli","Crataegus crus-galli","L."
,"Crataegus crus-galli var. crus-galli","Crataegus crus-galli var. crus-galli","7272322","EXACT","99","ACCEPTED","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus crus-galli","Crataegus crus-galli crus-galli","Linnaeus"
,"Crataegus cupressocollina","Crataegus cupressocollina J.B.Phipps & O'Kennon","3013792","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus cupressocollina","Crataegus cupressocollina","J.B.Phipps & O'Kennon"
,"Crataegus dodgei","Crataegus dodgei Ashe","3016197","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus dodgei","Crataegus dodgei","Ashe"
,"Crataegus enderbyensis","Crataegus enderbyensis J.B.Phipps & O'Kennon","3015907","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus enderbyensis","Crataegus enderbyensis","J.B.Phipps & O'Kennon"
,"Crataegus flabellata","Crataegus flabellata Bosc ex M.Roem.","7475649","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus flabellata","Crataegus flabellata","Bosc ex M.Roem."
,"Crataegus florifera","Crataegus florifera Sarg.","3016162","EDITED","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus succulenta","Crataegus florifera","Sarg."
,"Crataegus fluviatilis","Crataegus fluviatilis Sarg.","3014900","EDITED","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus macrosperma","Crataegus fluviatilis","Sarg."
,"Crataegus formosa","Crataegus formosa Sarg.","3014794","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus pruinosa","Crataegus formosa","Sarg."
,"Crataegus gaylussacia","Crataegus gaylussacia A.Heller","3013900","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus gaylussacia","Crataegus gaylussacia","A.Heller"
,"Crataegus holmesiana","Crataegus holmesiana Ashe","3014062","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus holmesiana","Crataegus holmesiana","Ashe"
,"Crataegus intricata","Crataegus intricata Lange","3014211","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus intricata","Crataegus intricata","Lange"
,"Crataegus irrasa","Crataegus irrasa Sarg.","3015911","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus irrasa","Crataegus irrasa","Sarg."
,"Crataegus jesupii","Crataegus jesupii Sarg.","3015524","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus jesupii","Crataegus jesupii","Sarg."
,"Crataegus jonesiae","Crataegus jonesiae Sargent","4272199","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus jonesiae","Crataegus jonesiae","Sargent"
