scientificName,kingdom
Duarctopoa labradorica,plantae
Abies amabilis,plantae
Abies balsamea,plantae
Abies grandis,plantae
Abies lasiocarpa,plantae
Acer circinatum,plantae
Acer glabrum,plantae
Acer glabrum var. douglasii,plantae
Acer macrophyllum,plantae
Acer negundo,plantae
Acer negundo var. negundo,plantae
Acer negundo var. texanum,plantae
Acer nigrum,plantae
Acer pensylvanicum,plantae
Acer rubrum,plantae
Acer rubrum var. rubrum,plantae
Acer rubrum var. trilobum,plantae
Acer saccharinum,plantae
Acer saccharum,plantae
Acer spicatum,plantae
Achillea millefolium,plantae
Acmispon americanus,plantae
Acmispon americanus var. americanus,plantae
Acmispon denticulatus,plantae
Acmispon parviflorus,plantae
Agastache foeniculum,plantae
Agastache nepetoides,plantae
Agastache urticifolia,plantae
Agrostis exarata,plantae
Agrostis hyemalis,plantae
Agrostis mertensii,plantae
Agrostis perennans,plantae
Allium acuminatum,plantae
Allium amplectens,plantae
Allium canadense,plantae
Allium canadense var. canadense,plantae
Allium cernuum,plantae
Allium crenulatum,plantae
Allium geyeri,plantae
Allium geyeri var. geyeri,plantae
Allium geyeri var. tenerum,plantae
Allium schoenoprasum,plantae
Allium schoenoprasum var. schoenoprasum,plantae
Allium schoenoprasum var. sibiricum,plantae
Allium stellatum,plantae
Allium textile,plantae
Allium tricoccum,plantae
Allium tricoccum var. burdickii,plantae
Allium tricoccum var. tricoccum,plantae
Alnus alnobetula,plantae
Alnus alnobetula subsp. crispa,plantae
Alnus alnobetula subsp. sinuata,plantae
Alnus incana,plantae
Alnus incana subsp. rugosa,plantae
Alnus rubra,plantae
Amaranthus albus,plantae
Amaranthus californicus,plantae
Amaranthus hybridus,plantae
Amaranthus retroflexus,plantae
Amaranthus tuberculatus,plantae
Amaranthus tuberculatus var. rudis,plantae
Amaranthus tuberculatus var. tuberculatus,plantae
Ambrosia chamissonis,plantae
Amelanchier alnifolia,plantae
Amelanchier alnifolia var. alnifolia,plantae
Amelanchier alnifolia var. cusickii,plantae
Amelanchier alnifolia var. pumila,plantae
Amelanchier alnifolia var. semiintegrifloia,plantae
Amelanchier amabilis,plantae
Amelanchier arborea,plantae
Amelanchier bartramiana,plantae
Amelanchier canadensis,plantae
Amelanchier canadensis var. canadensis,plantae
Amelanchier cusickii,plantae
Amelanchier humilis,plantae
Amelanchier interior,plantae
Amelanchier intermedia,plantae
Amelanchier laevis,plantae
Amelanchier nantucketensis,plantae
Amelanchier sanguinea,plantae
Amelanchier spicata,plantae
Amphicarpaea bracteata,plantae
Andropogon hallii,plantae
Apios americana,plantae
Aralia nudicaulis,plantae
Arbutus menziesii,plantae
Arctopoa eminens,plantae
Arctostaphylos columbiana,plantae
Arctostaphylos uva-ursi,plantae
Arctous alpina,plantae
Arctous rubra,plantae
Arnica cordifolia,plantae
Aruncus dioicus,plantae
Aruncus dioicus var. acuminatus,plantae
Aruncus dioicus var. vulgaris,plantae
Asarum canadense,plantae
Asarum caudatum,plantae
Asarum caudatum var. caudatum,plantae
Asimina triloba,plantae
Astragalus agrestis,plantae
Astragalus alpinus,plantae
Astragalus alpinus var. alpinus,plantae
Astragalus alpinus var. brunetianus,plantae
Astragalus americanus,plantae
Astragalus beckwithii,plantae
Astragalus beckwithii var. weiserensis,plantae
Astragalus bisulcatus,plantae
Astragalus bisulcatus var. bisulcatus,plantae
Astragalus bodinii,plantae
Astragalus bourgovii,plantae
Astragalus canadensis,plantae
Astragalus canadensis var. brevidens,plantae
Astragalus canadensis var. canadensis,plantae
Astragalus canadensis var. mortonii,plantae
Astragalus collinus,plantae
Astragalus collinus var. collinus,plantae
Astragalus crassicarpus,plantae
Astragalus crassicarpus var. crassicarpus,plantae
Astragalus drummondii,plantae
Astragalus eucosmus,plantae
Astragalus filipes,plantae
Astragalus flexuosus,plantae
Astragalus flexuosus var. flexuosus,plantae
Astragalus gilviflorus,plantae
Astragalus gilviflorus var. gilviflorus,plantae
Astragalus gracilis,plantae
Astragalus kentrophyta,plantae
Astragalus kentrophyta var. kentrophyta,plantae
Astragalus laxmannii,plantae
Astragalus laxmannii var. robustior,plantae
Astragalus laxmannii var. tananaicus,plantae
Astragalus lentiginosus,plantae
Astragalus lentiginosus var. salinus,plantae
Astragalus lotiflorus,plantae
Astragalus microcystis,plantae
Astragalus miser,plantae
Astragalus miser var. miser,plantae
Astragalus miser var. serotinus,plantae
Astragalus missouriensis,plantae
Astragalus missouriensis var. missouriensis,plantae
Astragalus neglectus,plantae
Astragalus pectinatus,plantae
Astragalus purshii,plantae
Astragalus purshii var. glareosus,plantae
Astragalus purshii var. purshii,plantae
Astragalus racemosus,plantae
Astragalus racemosus var. racemosus,plantae
Astragalus robbinsii,plantae
Astragalus robbinsii var. fernaldii,plantae
Astragalus robbinsii var. minor,plantae
Astragalus sclerocarpus,plantae
Astragalus spatulatus,plantae
Astragalus tenellus,plantae
Astragalus umbellatus,plantae
Astragalus vexilliflexus,plantae
Astragalus vexilliflexus var. vexilliflexus,plantae
Astragalus williamsii,plantae
Balsamorhiza deltoidea,plantae
Balsamorhiza sagittata,plantae
Betula alleghaniensis,plantae
Betula lenta,plantae
Betula occidentalis,plantae
Betula papyrifera,plantae
Betula populifolia,plantae
Blitum capitatum,plantae
Blitum capitatum subsp. capitatum,plantae
Blitum nuttallianum,plantae
Bromus anomalus,plantae
Bromus ciliatus,plantae
Bromus inermis,plantae
Bromus kalmii,plantae
Bromus marginatus,plantae
Bromus pacificus,plantae
Bromus porteri,plantae
Bromus pubescens,plantae
Bromus sitchensis,plantae
Bromus sitchensis var. aleutensis,plantae
Bromus sitchensis var. sitchensis,plantae
Bromus vulgaris,plantae
Calamagrostis canadensis,plantae
Calamagrostis canadensis var. canadensis,plantae
Calamagrostis canadensis var. langsdorffii,plantae
Calamagrostis canadensis var. macouniana,plantae
Caltha leptosepala,plantae
Calypso bulbosa,plantae
Calypso bulbosa var. americana,plantae
Calypso bulbosa var. occidentalis,plantae
Camassia leichtlinii,plantae
Camassia leichtlinii subsp. suksdorfii,plantae
Camassia quamash,plantae
Camassia quamash subsp. maxima,plantae
Camassia quamash subsp. quamash,plantae
Camassia scilloides,plantae
Carex obnupta,plantae
Carya cordiformis,plantae
Carya glabra,plantae
Carya laciniosa,plantae
Carya ovalis,plantae
Carya ovata,plantae
Carya ovata var. ovata,plantae
Castanea dentata,plantae
Celtis occidentalis,plantae
Chamaenerion angustifolium,plantae
Chamaenerion angustifolium subsp. angustifolium,plantae
Chamaenerion angustifolium subsp. circumvagum,plantae
Chenopodiastrum simplex,plantae
Chenopodium berlandieri,plantae
Chenopodium berlandieri var. bushianum,plantae
Chenopodium berlandieri var. macrocalycium,plantae
Chenopodium berlandieri var. zschackei,plantae
Chenopodium desiccatum,plantae
Chenopodium fremontii,plantae
Chenopodium hians,plantae
Chenopodium leptophyllum,plantae
Chenopodium standleyanum,plantae
Chenopodium watsonii,plantae
Claytonia caroliniana,plantae
Claytonia lanceolata,plantae
Claytonia megarhiza,plantae
Claytonia perfoliata,plantae
Claytonia perfoliata subsp. intermontana,plantae
Claytonia perfoliata subsp. perfoliata,plantae
Claytonia sibirica,plantae
Claytonia virginica,plantae
Coleataenia longifolia,plantae
Coleataenia longifolia var. longifolia,plantae
Coleataenia rigidula subsp. rigidula,plantae
Comarum palustre,plantae
Conioselinum pacificum,plantae
Cornus canadensis,plantae
Cornus obliqua,plantae
Cornus sericea,plantae
Cornus sericea subsp. occidentalis,plantae
Cornus sericea subsp. sericea,plantae
Cornus suecica,plantae
Cornus unalaschkensis,plantae
Corylus americana,plantae
Corylus californica,plantae
Corylus cornuta,plantae
Crataegus douglasii,plantae
Crataegus macracantha,plantae
Dasiphora fruticosa,plantae
Daucus pusillus,plantae
Dicentra formosa,plantae
Dichanthelium boreale,plantae
Dichanthelium clandestinum,plantae
Dichanthelium depauperatum,plantae
Dichanthelium dichotomum,plantae
Dichanthelium dichotomum subsp. dichotomum,plantae
Dichanthelium implicatum,plantae
Dichanthelium latifolium,plantae
Dichanthelium leibergii,plantae
Dichanthelium linearifolium,plantae
Dichanthelium meridionale,plantae
Dichanthelium perlongum,plantae
Dichanthelium praecocius,plantae
Dichanthelium sphaerocarpon,plantae
Dichanthelium subvillosum,plantae
Dichanthelium wilcoxianum,plantae
Dichanthelium xanthophysum,plantae
Dioscorea villosa,plantae
Drymocallis glandulosa,plantae
Drymocallis glandulosa var. glandulosa,plantae
Elymus alaskanus,plantae
Elymus alaskanus subsp. alaskanus,plantae
Elymus alaskanus subsp. hyperarcticus,plantae
Elymus albicans,plantae
Elymus canadensis,plantae
Elymus canadensis var. brachystachys,plantae
Elymus canadensis var. canadensis,plantae
Elymus curvatus,plantae
Elymus diversiglumis,plantae
Elymus elymoides,plantae
Elymus elymoides subsp. californicus,plantae
Elymus elymoides subsp. elymoides,plantae
Elymus glaucus,plantae
Elymus glaucus subsp. glaucus,plantae
Elymus glaucus subsp. virescens ,plantae
Elymus hirsutus,plantae
Elymus hystrix,plantae
Elymus lanceolatus,plantae
Elymus lanceolatus subsp. lanceolatus,plantae
Elymus lanceolatus subsp. psammophilus,plantae
Elymus macrourus,plantae
Elymus riparius,plantae
Elymus scribneri,plantae
Elymus sibiricus,plantae
Elymus trachycaulus,plantae
Elymus trachycaulus subsp. subsecundus,plantae
Elymus trachycaulus subsp. trachycaulus,plantae
Elymus villosus,plantae
Elymus violaceus,plantae
Elymus virginicus,plantae
Elymus virginicus var. halophilus,plantae
Elymus virginicus var. intermedius,plantae
Elymus virginicus var. virginicus,plantae
Elymus wiegandii ,plantae
Empetrum nigrum,plantae
Empetrum nigrum subsp. hermaphroditum,plantae
Empetrum nigrum subsp. nigrum,plantae
Erythronium americanum,plantae
Erythronium americanum subsp. americanum,plantae
Erythronium grandiflorum,plantae
Erythronium grandiflorum subsp. grandiflorum,plantae
Erythronium oregonum,plantae
Erythronium revolutum,plantae
Fagus grandifolia,plantae
Festuca altaica,plantae
Festuca occidentalis,plantae
Festuca rubra,plantae
Festuca rubra subsp. arctica,plantae
Festuca rubra subsp. aucta,plantae
Festuca rubra subsp. commutata,plantae
Festuca rubra subsp. fallax,plantae
Festuca rubra subsp. mediana,plantae
Festuca rubra subsp. pruinosa,plantae
Festuca rubra subsp. rubra,plantae
Festuca rubra subsp. secunda,plantae
Festuca rubra subsp. vallicola,plantae
Festuca subulata,plantae
Festuca subuliflora,plantae
Festuca subverticillata,plantae
Festuca viridula,plantae
Fragaria ananassa,plantae
Fragaria ananassa subsp. ananassa,plantae
Fragaria ananassa subsp. cuneifolia,plantae
Fragaria chiloensis,plantae
Fragaria chiloensis subsp. lucida,plantae
Fragaria chiloensis subsp. pacifica,plantae
Fragaria vesca,plantae
Fragaria vesca subsp. americana,plantae
Fragaria vesca subsp. bracteata,plantae
Fragaria vesca subsp. vesca,plantae
Fragaria virginiana,plantae
Fragaria virginiana subsp. glauca,plantae
Fragaria virginiana subsp. platypetala,plantae
Fragaria virginiana subsp. virginiana,plantae
Frangula purshiana,plantae
Frangula purshiana subsp. purshiana,plantae
Fraxinus americana,plantae
Fraxinus nigra,plantae
Fraxinus pennsylvanica,plantae
Fraxinus quadrangulata,plantae
Fritillaria affinis,plantae
Fritillaria affinis var. affinis,plantae
Fritillaria camschatcensis,plantae
Fritillaria pudica,plantae
Gaillardia aristata,plantae
Gaultheria hispidula,plantae
Gaultheria humifusa,plantae
Gaultheria ovatifolia,plantae
Gaultheria procumbens,plantae
Gaultheria shallon,plantae
Gaylussacia baccata,plantae
Gaylussacia bigeloviana,plantae
Hamamelis virginiana,plantae
Hedysarum americanum,plantae
Hedysarum boreale,plantae
Hedysarum boreale subsp. boreale,plantae
Hedysarum boreale subsp. mackenziei,plantae
Hedysarum occidentale,plantae
Hedysarum occidentale var. occidentale,plantae
Hedysarum sulphurescens,plantae
Helianthus laetiflorus,plantae
Helianthus annuus,plantae
Helianthus decapetalus,plantae
Helianthus divaricatus,plantae
Helianthus giganteus,plantae
Helianthus hirsutus,plantae
Helianthus maximiliani,plantae
Helianthus nuttallii,plantae
Helianthus nuttallii subsp. nuttallii,plantae
