TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,ECO_NAME
Abies amabilis,Abies,Abies amabilis,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Abies amabilis,Abies,Abies amabilis,,,Pacific Northwest Coast
Abies amabilis,Abies,Abies amabilis,,,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Abies amabilis,Abies,Abies amabilis,,,North Cascades
Abies amabilis,Abies,Abies amabilis,,,Okanagan
Abies amabilis,Abies,Abies amabilis,,,Montane Cordillera
Abies balsamea,Abies,Abies balsamea,,,Boreal Shield
Abies balsamea,Abies,Abies balsamea,,,Northern Appalachian / Acadian
Abies balsamea,Abies,Abies balsamea,,,St. Lawrence - Champlain Valley
Abies balsamea,Abies,Abies balsamea,,,Great Lakes
Abies balsamea,Abies,Abies balsamea,,,Boreal Plains
Abies balsamea,Abies,Abies balsamea,,,Superior Mixed Forest
Abies balsamea,Abies,Abies balsamea,,,Northern Tallgrass Prairie
Abies balsamea,Abies,Abies balsamea,,,Hudson Plains
Abies balsamea,Abies,Abies balsamea,,,Eastern Taiga Shield
Abies balsamea,Abies,Abies balsamea,,,Boreal Cordillera
Abies grandis,Abies,Abies grandis,,,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Abies grandis,Abies,Abies grandis,,,Pacific Northwest Coast
Abies grandis,Abies,Abies grandis,,,Canadian Rocky Mountains
Abies grandis,Abies,Abies grandis,,,Okanagan
Abies grandis,Abies,Abies grandis,,,North Cascades
Abies grandis,Abies,Abies grandis,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Montane Cordillera
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Pacific Northwest Coast
Abies lasiocarpa,Abies,Abies lasiocarpa,,,North Cascades
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Okanagan
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Canadian Rocky Mountains
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Boreal Cordillera
Abies lasiocarpa,Abies,Abies lasiocarpa,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Taiga Plains
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Taiga Cordillera
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Boreal Plains
Acer circinatum,Acer,Acer circinatum,,,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Acer circinatum,Acer,Acer circinatum,,,North Cascades
