TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,PROVINCE
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,British Columbia
Acer glabrum,Acer,Acer glabrum,,,British Columbia
Acer rubrum,Acer,Acer rubrum,,,Nova Scotia
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,British Columbia
Abies balsamea,Abies,Abies balsamea,,,Ontario
Acer saccharum,Acer,Acer saccharum,,,Ontario
Acer macrophyllum,Acer,Acer macrophyllum,,,British Columbia
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,,British Columbia
Achillea millefolium,Achillea,Achillea millefolium,,,Ontario
Arbutus menziesii,Arbutus,Arbutus menziesii,,,British Columbia
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Ontario
Abies balsamea,Abies,Abies balsamea,,,Quebec
Achillea millefolium,Achillea,Achillea millefolium,,,British Columbia
Arctostaphylos columbiana,Arctostaphylos,Arctostaphylos columbiana,,,British Columbia
Amphicarpaea bracteata,Amphicarpaea,Amphicarpaea bracteata,,,Ontario
Acer saccharinum,Acer,Acer saccharinum,,,Ontario
Acer saccharum,Acer,Acer saccharum,,,Nova Scotia
Abies balsamea,Abies,Abies balsamea,,,Nova Scotia
Arnica cordifolia,Arnica,Arnica cordifolia,,,British Columbia
Aruncus dioicus,Aruncus,Aruncus dioicus,,,British Columbia
Acer negundo,Acer,Acer negundo,,,Ontario
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,Ontario
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Manitoba
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Nova Scotia
Allium cernuum,Allium,Allium cernuum,,,Alberta
Acer negundo,Acer,Acer negundo,,,Quebec
Achillea millefolium,Achillea,Achillea millefolium,,,Nova Scotia
Acer rubrum,Acer,Acer rubrum,,,Ontario
Abies balsamea,Abies,Abies balsamea,,,New Brunswick
Acer saccharinum,Acer,Acer saccharinum,,,Quebec
Acer circinatum,Acer,Acer circinatum,,,British Columbia
Acer pensylvanicum,Acer,Acer pensylvanicum,,,Nova Scotia
Acer negundo,Acer,Acer negundo,,,Nova Scotia
Abies amabilis,Abies,Abies amabilis,,,British Columbia
Alnus alnobetula,Alnus,Alnus alnobetula,,,Ontario
Allium cernuum,Allium,Allium cernuum,,,British Columbia
Ambrosia chamissonis,Ambrosia,Ambrosia chamissonis,,,British Columbia
Acer rubrum,Acer,Acer rubrum,,,Quebec
Alnus alnobetula,Alnus,Alnus alnobetula,,,Nova Scotia
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,Ontario
Asarum canadense,Asarum,Asarum canadense,,,Ontario
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,,Alberta
Asarum caudatum,Asarum,Asarum caudatum,,,British Columbia
Alnus incana,Alnus,Alnus incana,,,Nova Scotia
Abies grandis,Abies,Abies grandis,,,British Columbia
Acer negundo,Acer,Acer negundo,,,Manitoba
Achillea millefolium,Achillea,Achillea millefolium,,,Alberta
Allium tricoccum var. tricoccum,Allium,Allium tricoccum,var.,tricoccum,Ontario
Alnus incana,Alnus,Alnus incana,,,Quebec
Achillea millefolium,Achillea,Achillea millefolium,,,Manitoba
Acer negundo,Acer,Acer negundo,,,Saskatchewan
Acer pensylvanicum,Acer,Acer pensylvanicum,,,New Brunswick
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,Nova Scotia
Acer spicatum,Acer,Acer spicatum,,,Prince Edward Island
Achillea millefolium,Achillea,Achillea millefolium,,,Quebec
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Alberta
Acer glabrum var. douglasii,Acer,Acer glabrum,var.,douglasii,British Columbia
Acer rubrum,Acer,Acer rubrum,,,New Brunswick
Alnus rubra,Alnus,Alnus rubra,,,British Columbia
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,,Saskatchewan
Acer saccharum,Acer,Acer saccharum,,,New Brunswick
Acer saccharum,Acer,Acer saccharum,,,Prince Edward Island
Abies balsamea,Abies,Abies balsamea,,,Prince Edward Island
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Nova Scotia
Abies balsamea,Abies,Abies balsamea,,,Newfoundland and Labrador
Acer pensylvanicum,Acer,Acer pensylvanicum,,,Quebec
Alnus incana,Alnus,Alnus incana,,,Ontario
Abies lasiocarpa,Abies,Abies lasiocarpa,,,British Columbia
Allium acuminatum,Allium,Allium acuminatum,,,British Columbia
Acer pensylvanicum,Acer,Acer pensylvanicum,,,Ontario
Acer saccharum,Acer,Acer saccharum,,,Quebec
Arnica cordifolia,Arnica,Arnica cordifolia,,,Alberta
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,,British Columbia
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,sinuata,British Columbia
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,,Quebec
Alnus incana,Alnus,Alnus incana,,,Prince Edward Island
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,Quebec
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Saskatchewan
Acer rubrum,Acer,Acer rubrum,,,Prince Edward Island
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,Quebec
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,Manitoba
Agastache foeniculum,Agastache,Agastache foeniculum,,,Ontario
Acmispon denticulatus,Acmispon,Acmispon denticulatus,,,British Columbia
Asarum canadense,Asarum,Asarum canadense,,,Quebec
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,,Manitoba
Allium tricoccum var. tricoccum,Allium,Allium tricoccum,var.,tricoccum,Quebec
Acer negundo,Acer,Acer negundo,,,Alberta
Acer spicatum,Acer,Acer spicatum,,,Nova Scotia
Amelanchier arborea,Amelanchier,Amelanchier arborea,,,Ontario
Asimina triloba,Asimina,Asimina triloba,,,Ontario
Acer negundo,Acer,Acer negundo,,,British Columbia
Acer pensylvanicum,Acer,Acer pensylvanicum,,,Prince Edward Island
Achillea millefolium,Achillea,Achillea millefolium,,,Yukon
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,New Brunswick
Achillea millefolium,Achillea,Achillea millefolium,,,Saskatchewan
Amaranthus albus,Amaranthus,Amaranthus albus,,,Ontario
Agastache foeniculum,Agastache,Agastache foeniculum,,,Alberta
Agastache nepetoides,Agastache,Agastache nepetoides,,,Ontario
Acer spicatum,Acer,Acer spicatum,,,New Brunswick
Amphicarpaea bracteata,Amphicarpaea,Amphicarpaea bracteata,,,Manitoba
Allium textile,Allium,Allium textile,,,Alberta
Allium schoenoprasum,Allium,Allium schoenoprasum,,,British Columbia
Acer spicatum,Acer,Acer spicatum,,,Quebec
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Yukon
Achillea millefolium,Achillea,Achillea millefolium,,,Prince Edward Island
Apios americana,Apios,Apios americana,,,Nova Scotia
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,,Nova Scotia
Allium tricoccum,Allium,Allium tricoccum,,,Ontario
Agastache urticifolia,Agastache,Agastache urticifolia,,,British Columbia
Amelanchier alnifolia var. semiintegrifolia,Amelanchier,Amelanchier alnifolia,var.,semiintegrifolia,British Columbia
Apios americana,Apios,Apios americana,,,Quebec
Acer spicatum,Acer,Acer spicatum,,,Manitoba
Abies balsamea,Abies,Abies balsamea,,,Manitoba
Amelanchier canadensis,Amelanchier,Amelanchier canadensis,,,Quebec
Alnus incana,Alnus,Alnus incana,,,Manitoba
Amphicarpaea bracteata,Amphicarpaea,Amphicarpaea bracteata,,,Quebec
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,,Nova Scotia
Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,tenuifolia,British Columbia
Achillea millefolium,Achillea,Achillea millefolium,,,Newfoundland and Labrador
Acer spicatum,Acer,Acer spicatum,,,Ontario
Apios americana,Apios,Apios americana,,,Ontario
Alnus alnobetula,Alnus,Alnus alnobetula,,,British Columbia
Alnus incana,Alnus,Alnus incana,,,British Columbia
Acmispon parviflorus,Acmispon,Acmispon parviflorus,,,British Columbia
Achillea millefolium,Achillea,Achillea millefolium,,,New Brunswick
Allium schoenoprasum,Allium,Allium schoenoprasum,,,Alberta
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Prince Edward Island
Allium tricoccum,Allium,Allium tricoccum,,,Quebec
Allium amplectens,Allium,Allium amplectens,,,British Columbia
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,Prince Edward Island
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,New Brunswick
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,,Ontario
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,,Saskatchewan
Acer negundo,Acer,Acer negundo,,,Prince Edward Island
Allium stellatum,Allium,Allium stellatum,,,Manitoba
Agastache foeniculum,Agastache,Agastache foeniculum,,,Manitoba
Amelanchier arborea,Amelanchier,Amelanchier arborea,,,Quebec
Acer spicatum,Acer,Acer spicatum,,,Newfoundland and Labrador
Acer saccharinum,Acer,Acer saccharinum,,,New Brunswick
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,Nova Scotia
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Yukon
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,Saskatchewan
Abies lasiocarpa,Abies,Abies lasiocarpa,,,Alberta
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,Alberta
Allium crenulatum,Allium,Allium crenulatum,,,British Columbia
Allium textile,Allium,Allium textile,,,Saskatchewan
Asarum canadense,Asarum,Asarum canadense,,,Manitoba
Allium geyeri,Allium,Allium geyeri,,,British Columbia
