TAXON,DMS,,,,,,,,,,,,
Astragalus gilviflorus var. gilviflorus,"49.6N, 110.3W",,,,,,,,,,,,
Astragalus gilviflorus var. gilviflorus,"50.0N, 110.8W",,,,,,,,,,,,
Astragalus gilviflorus var. gilviflorus,"49.1N, 112.4W",,,,,,,,,,,,
Astragalus microcystis,"49.0N, 117.4W",,,,,,,,,,,,
Astragalus microcystis,"49.0N, 117.4W",,,,,,,,,,,,
Astragalus microcystis,"49.0N, 117.4W",,,,,,,,,,,,
Astragalus racemosus var. racemosus,"50.0N, 105.2W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.4N, 57.2W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.4N, 57.2W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.4N, 57.2W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.4N, 57.2W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.4N, 57.1W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.4N, 57.1W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.6N, 55.4W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.4N, 57.2W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.0N, 79.6W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.0N, 79.6W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.0N, 79.6W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.4N, 57.1W",,,,,,,,,,,,
Astragalus robbinsii var. fernaldii,"51.4N, 57.1W",,,,,,,,,,,,
Chenopodium berlandieri var. bushianum,"42.9N, 79.1W",,,,,,,,,,,,
Chenopodium berlandieri var. bushianum,"45.7N, 73.5W",,,,,,,,,,,,
Chenopodium berlandieri var. bushianum,"45.7N, 73.5W",,,,,,,,,,,,
Chenopodium berlandieri var. bushianum,"44.0N, 59.8W",,,,,,,,,,,,
Claytonia perfoliata subsp. intermontana,"50.2N, 121.6W",,,,,,,,,,,,
Claytonia perfoliata subsp. intermontana,"49.6N, 121.4W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia,"44.4N, 64.8W",,,,,,,,,,,,
Coleataenia longifolia,"43.7N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia,"44.0N, 65.7W",,,,,,,,,,,,
Coleataenia longifolia,"44.2N, 64.5W",,,,,,,,,,,,
Coleataenia longifolia,"44.2N, 64.5W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.1N, 65.0W",,,,,,,,,,,,
Coleataenia longifolia,"44.2N, 64.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.1N, 65.0W",,,,,,,,,,,,
Coleataenia longifolia,"44.4N, 64.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.3N, 65.0W",,,,,,,,,,,,
Coleataenia longifolia,"44.3N, 65.0W",,,,,,,,,,,,
Coleataenia longifolia,"44.3N, 64.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.3N, 65.0W",,,,,,,,,,,,
Coleataenia longifolia,"44.4N, 64.8W",,,,,,,,,,,,
Coleataenia longifolia,"43.0N, 65.0W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 65.9W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia,"43.8N, 65.2W",,,,,,,,,,,,
Coleataenia longifolia,"44.1N, 65.9W",,,,,,,,,,,,
Coleataenia longifolia,"44.1N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.3N, 64.9W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia,"44.0N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 66.1W",,,,,,,,,,,,
Coleataenia longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia,"44.1N, 64.6W",,,,,,,,,,,,
Coleataenia longifolia,"44.1N, 64.6W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.9N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.4N, 64.8W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.7N, 66.0W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.0N, 65.7W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.2N, 64.5W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.2N, 64.5W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"43.9N, 65.8W",,,,,,,,,,,,
Coleataenia longifolia subsp. longifolia,"44.1N, 65.0W",,,,,,,,,,,,
