"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFIC","ECO_NAME"
"1","Acer rubrum","Acer","Acer rubrum","","","Northern Appalachian / Acadian"
"1.2","Acer saccharum","Acer","Acer saccharum","","","Northern Appalachian / Acadian"
"1.3","Abies balsamea","Abies","Abies balsamea","","","Northern Appalachian / Acadian"
"1.7","Acer negundo","Acer","Acer negundo","","","Northern Appalachian / Acadian"
"1.12","Alnus alnobetula","Alnus","Alnus alnobetula","","","Northern Appalachian / Acadian"
"1.20","Alnus incana","Alnus","Alnus incana","","","Northern Appalachian / Acadian"
"1.21","Acer pensylvanicum","Acer","Acer pensylvanicum","","","Northern Appalachian / Acadian"
"1.22","Achillea millefolium","Achillea","Achillea millefolium","","","Northern Appalachian / Acadian"
"1.29","Aralia nudicaulis","Aralia","Aralia nudicaulis","","","Northern Appalachian / Acadian"
"1.31","Acer spicatum","Acer","Acer spicatum","","","Northern Appalachian / Acadian"
"1.47","Arctostaphylos uva-ursi","Arctostaphylos","Arctostaphylos uva-ursi","","","Northern Appalachian / Acadian"
"1.176","Apios americana","Apios","Apios americana","","","Northern Appalachian / Acadian"
"1.187","Amaranthus retroflexus","Amaranthus","Amaranthus retroflexus","","","Northern Appalachian / Acadian"
"1.205","Amelanchier canadensis","Amelanchier","Amelanchier canadensis","","","Northern Appalachian / Acadian"
"1.307","Acer saccharinum","Acer","Acer saccharinum","","","Northern Appalachian / Acadian"
"1.312","Alnus incana subsp. rugosa","Alnus","Alnus incana","subsp.","rugosa","Northern Appalachian / Acadian"
"1.345","Allium tricoccum var. tricoccum","Allium","Allium tricoccum","var.","tricoccum","Northern Appalachian / Acadian"
"1.349","Allium tricoccum","Allium","Allium tricoccum","","","Northern Appalachian / Acadian"
"1.353","Alnus alnobetula subsp. crispa","Alnus","Alnus alnobetula","subsp.","crispa","Northern Appalachian / Acadian"
"1.645","Amphicarpaea bracteata","Amphicarpaea","Amphicarpaea bracteata","","","Northern Appalachian / Acadian"
"1.659","Allium schoenoprasum","Allium","Allium schoenoprasum","","","Northern Appalachian / Acadian"
"1.685","Asarum canadense","Asarum","Asarum canadense","","","Northern Appalachian / Acadian"
"1.957","Amelanchier arborea","Amelanchier","Amelanchier arborea","","","Northern Appalachian / Acadian"
"1.1090","Amelanchier bartramiana","Amelanchier","Amelanchier bartramiana","","","Northern Appalachian / Acadian"
"1.1148","Amelanchier laevis","Amelanchier","Amelanchier laevis","","","Northern Appalachian / Acadian"
