TAXON,added_to_ecoregions_trimmed,added_to_provinces_trimmed
Allium burdickii,y,y
Amphicarpaea bracteata var. bracteata,n,n
Arctous rubra,y,y
Bromus carinatus var. marginatus,n,n
Clinopodium douglasii,y,y
Corylus californica,y,y
Crataegus beata,n,n
Crataegus chrysocarpa var. faxonii,n,n
Crataegus chrysocarpa var. virgintistamina,n,n
Crataegus coccinea var. pringlei,n,n
Crataegus cognata,n,n
Crataegus florifera,n,n
Crataegus fluviatilis,n,n
Crataegus formosa,n,n
Crataegus jesupii,n,n
Crataegus knieskerniana,n,n
Crataegus lemingtonensis,n,n
Crataegus lumaria,n,n
Crataegus magniflora,n,n
Crataegus margarettae var. angustifolia,n,n
Crataegus margarettae var. margarettae,n,n
Crataegus mollis var. incisifolia,n,n
Crataegus mollis var. mollis,n,n
Crataegus pennsylvanica,n,n
Crataegus populnea,n,n
Crataegus prona,n,n
Crataegus pruniosa,n,n
Crataegus pruniosa var. dissona,n,n
Crataegus pruniosa var. parvula,n,n
Crataegus pruniosa var. pruinosa,n,n
Crataegus pruniosa var. rugosa,n,n
Crataegus pruniosa var. virella,n,n
Crataegus scabrida var. cyclophylla,n,n
Crataegus scabrida var. scabrida,n,n
Crataegus sheridana,n,n
Crataegus stolonifera,n,n
Crataegus succulenta var. gemmosa,n,n
Crataegus succulenta var. michiganensis ,n,n
Crataegus succulenta var. succulenta ,n,n
Cupressis nootkatensis,y,y
Dichanthelium boreale,y,y
Dichanthelium clandestinum,y,y
Dichanthelium depauperatum,y,y
Dichanthelium dichotomum,y,y
Dichanthelium dichotomum subsp. dichotomum,n,n
Dichanthelium latifolium,y,y
Dichanthelium leibergii,y,y
Dichanthelium linearifolium,y,y
Dichanthelium wilcoxianum,y,y
Dichanthelium xanthophysum,y,y
Festuca rubra subsp. arctica,n,n
Hordeum brachyantherum subsp. brachyantherum,n,n
Hordeum jubatum subsp. jubatum,n,n
Lactuca tatarica subsp. pulchella,n,n
Leymus mollis subsp. villosissimus,y,y
Lupinus arbustus,n,n
Lupinus depressus,n,n
Lupinus oreganus,n,n
Lupinus polyphyllus var. burkei,y,y
Malus fusca,y,y
Nuphar polysepala,y,y
Pascopyrum smithii,y,y
Philadelphus lewisii var. lewisii,n,n
Picea engelmannii var. engelmannii,n,n
Poa abbreviata subsp. pattersonii,n,n
Poa arctica subsp. caespitans,n,n
Poa arctica subsp. lanata,n,n
Poa eminens,y,y
Poa hartzii subsp. vrangelica,n,n
Poa pratensis subsp. alpigena,y,y
Poa pratensis subsp. angustifolia,y,y
Potentilla anserina subsp. anserina,n,n
Potentilla anserina subsp. groenlandica,n,n
Prunus pumila var. depressa,y,y
Prunus pumila var. susquehanae,y,y
Pseudoroegneria spicata,n,n
Ptelea trifoliata subsp. trifoliata,n,n
Rhus copallinum,n,n
Rhus copallinum var. copallinum,n,n
Rosa carolina subsp. carolina,n,n
Rosa carolina subsp. subserrulata,n,n
Schizachyrium scoparium subsp. scoparium,n,n
Sedum oreganum subsp. tenue,n,n
Silphium integrifolium var. laeve,n,n
Silphium perfoliatum var. perfoliatum,n,n
Vaccinium macrocarpon,y,y
Viburnum cassinoides,y,y
Zizania palustris var. interior,y,y
