"","Accession","Name","Taxonomy","Origin","Repository","Taxon","Genus","Species","Rank","Infraspecific"
"1","CN 41142","PGR 14192","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.","Saskatchewan, Canada","PGRC","Amelanchier alnifolia  ","Amelanchier","Amelanchier alnifolia","",""
"2","CN 41144","PGR 14194","Amelanchier arborea (F. Michx.) Fernald","Ontario, Canada","PGRC","Amelanchier arborea  ","Amelanchier","Amelanchier arborea","",""
"3","CN 41145","PGR 14195","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. cusickii (Fernald) C. L. Hitchc.","British Columbia, Canada","PGRC","Amelanchier alnifolia Var. cusickii","Amelanchier","Amelanchier alnifolia","Var.","cusickii"
"4","CN 37507","R-25","Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus","Alberta, Canada","PGRC","Elymus trachycaulus Subsp. trachycaulus","Elymus","Elymus trachycaulus","Subsp.","trachycaulus"
"5","CN 37508","R-27","Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus","Alberta, Canada","PGRC","Elymus trachycaulus Subsp. trachycaulus","Elymus","Elymus trachycaulus","Subsp.","trachycaulus"
"6","CN 37509","R-28","Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus","Alberta, Canada","PGRC","Elymus trachycaulus Subsp. trachycaulus","Elymus","Elymus trachycaulus","Subsp.","trachycaulus"
"7","CN 37510","R-29","Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus","Alberta, Canada","PGRC","Elymus trachycaulus Subsp. trachycaulus","Elymus","Elymus trachycaulus","Subsp.","trachycaulus"
"8","CN 37511","R-33","Astragalus americanus (Hook.) M. E. Jones","Alberta, Canada","PGRC","Astragalus americanus  ","Astragalus","Astragalus americanus","",""
"9","CN 37512","R-19","Astragalus cicer L.","British Columbia, Canada","PGRC","Astragalus cicer  ","Astragalus","Astragalus cicer","",""
"10","CN 37513","R-34","Astragalus flexuosus (Hook.) Douglas ex G. Don","Alberta, Canada","PGRC","Astragalus flexuosus  ","Astragalus","Astragalus flexuosus","",""
"11","CN 37514","R-16","Caragana arborescens Lam.","British Columbia, Canada","PGRC","Caragana arborescens  ","Caragana","Caragana arborescens","",""
"12","CN 37515","R-30","Elymus canadensis L.","Alberta, Canada","PGRC","Elymus canadensis  ","Elymus","Elymus canadensis","",""
"13","CN 37516","R-27a","Leymus innovatus (Beal) Pilg.","Alberta, Canada","PGRC","Leymus innovatus  ","Leymus","Leymus innovatus","",""
"14","CN 37517","R-35","Linum lewisii Pursh","Alberta, Canada","PGRC","Linum lewisii  ","Linum","Linum lewisii","",""
"15","CN 37518","R-14","Lotus corniculatus L.","British Columbia, Canada","PGRC","Lotus corniculatus  ","Lotus","Lotus corniculatus","",""
"16","CN 37519","R-10","Medicago lupulina L.","British Columbia, Canada","PGRC","Medicago lupulina  ","Medicago","Medicago lupulina","",""
"17","CN 37542","R-15","Melilotus officinalis (L.) Lam.","British Columbia, Canada","PGRC","Melilotus officinalis  ","Melilotus","Melilotus officinalis","",""
"18","CN 37543","R-12","Vicia americana Muhl. ex Willd.","British Columbia, Canada","PGRC","Vicia americana  ","Vicia","Vicia americana","",""
"19","CN 41147","PGR 14197","Amelanchier intermedia Spach","Nova Scotia, Canada","PGRC","Amelanchier intermedia  ","Amelanchier","Amelanchier intermedia","",""
"20","CN 41148","PGR 14198","Amelanchier laevis Wiegand","Nova Scotia, Canada","PGRC","Amelanchier laevis  ","Amelanchier","Amelanchier laevis","",""
"21","CN 41149","PGR 14199","Amelanchier laevis Wiegand","Ontario, Canada","PGRC","Amelanchier laevis  ","Amelanchier","Amelanchier laevis","",""
