"","ACCESSION","NAME","TAXONOMY","ORIGIN","REPOSITORY","RECEIVED","COORDINATES","Taxon","Genus","Species","Rank","Infraspecific"
"1","Ames 13142","358","Potentilla simplex Michx.","Québec, Canada","NC7",1990,"","Potentilla simplex  ","Potentilla","Potentilla simplex","",""
"2","Ames 13775","880471","Gymnocladus dioicus (L.) K. Koch","Ontario, Canada","NC7",1990,"42.12690000, -82.98390000","Gymnocladus dioicus  ","Gymnocladus","Gymnocladus dioicus","",""
"3","Ames 22819","Index Seminum 301","Anemone multifida Poir.","British Columbia, Canada","NC7",1996,"54.81666667, -127.10000000","Anemone multifida  ","Anemone","Anemone multifida","",""
"4","Ames 23761","#64","Thlaspi arvense L.","Ontario, Canada","NC7",1997,"","Thlaspi arvense  ","Thlaspi","Thlaspi arvense","",""
"5","Ames 24938","BCN 8027","Erucastrum leucanthum Coss. & Durieu","Canada","NC7",1991,"","Erucastrum leucanthum  ","Erucastrum","Erucastrum leucanthum","",""
"6","Ames 4617","86","Quercus muehlenbergii Engelm.","Ontario, Canada","NC7",1985,"","Quercus muehlenbergii  ","Quercus","Quercus muehlenbergii","",""
"7","Ames 4618","Accession No. 1985-0642Collection No. 1224","Quercus muehlenbergii Engelm.","Ontario, Canada","NC7",1985,"43.23195300, -81.89238900","Quercus muehlenbergii  ","Quercus","Quercus muehlenbergii","",""
"8","Ames 5328","Caribbean pigweed","Amaranthus retroflexus L.","Canada","NC7",1986,"","Amaranthus retroflexus  ","Amaranthus","Amaranthus retroflexus","",""
"9","CIav 2527","26-365","Avena fatua L.","Alberta, Canada","NSGC",1927,"55.00000000, -115.00000000","Avena fatua  ","Avena","Avena fatua","",""
"10","CIav 2528","25-65","Avena  hybr.","Alberta, Canada","NSGC",1927,"55.00000000, -115.00000000","Avena hybr.  ","Avena","Avena hybr.","",""
"11","CIav 2529","27-696","Avena fatua L.","Ontario, Canada","NSGC",1927,"50.00000000, -86.00000000","Avena fatua  ","Avena","Avena fatua","",""
"12","CIav 9016","CD 2321","Avena sterilis L.","Ontario, Canada","NSGC",1970,"","Avena sterilis  ","Avena","Avena sterilis","",""
"13","CIav 9018","CD 3078","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"14","CIav 9039","CD 7913","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
