ACCESSION,NAME,TAXONOMY,ORIGIN,REPOSITORY,IMAGE,AVAILABILITY,RECEIVED,SOURCE TYPE,SOURCE DATE,COLLECTION SITE,COORDINATES,ELEVATION,HABITAT,IMPROVEMENT STATUS,NARRATIVE,NA,Var.18,Genus,Rank,Infraspecific,Species,Taxon
Ames 21565,RWCF 22,Zinnia acerosa (DC.) A. Gray,"San Luis Potosí, Mexico",OPGC,,Add to cart,1993,COLLECTED,10/4/1993,"Roadside area, dry, gravelly clay loam. Assoc. Larrea, Opuntia, & yellow many-rayed composite. 9.3 km SE inters. Mex hwy 57 & 80 on 80 toward Santo Domingo. Near El Huizache","23.91666667, -100.40000000",1350,,WILD,"Rays 5, white, disks yellow. Population moderate, sampled ca. 35 plants.",1086662,Ames 21565,Zinnia,,,Zinnia acerosa,Zinnia acerosa  
Ames 21567,RWCF 59,Zinnia acerosa (DC.) A. Gray,"Zacatecas, Mexico",OPGC,,Add to cart,1993,COLLECTED,10/13/1993,"Roadside, gravelly soils. Assoc. Larrea, Acacia, Malvaceae & misc. composites. 19.8 km N inters. rd to San Tiburcio & Mex Hwy 54, W. side of hwy 54.","24.31666667, -101.40000000",1850,,WILD,"Rays 5, white, disks yellow. Population very large, sampled 50 plants.",1086667,Ames 21567,Zinnia,,,Zinnia acerosa,Zinnia acerosa  
Ames 23254,NCRPIS Compact Selection,Acer tataricum L. subsp. ginnala (Maxim.) Wesm.,"Iowa, United States",NC7,,Add to cart,1996,DEVELOPED,1996,,,,,CLONE,Accession separated from PI 477992.,1536668,Ames 23254,Acer,Subsp.,ginnala,Acer tataricum,Acer tataricum subsp. ginnala
Ames 28311,JDC-0012006,Acer saccharum Marshall subsp. nigrum (F. Michx.) Desmarais,"Iowa, United States",NC7,,Add to cart,2006,COLLECTED,9/8/2006,"Front yard of 811 Kellogg Avenue, back yard of 904 Kellogg Avenue, and front yard of 915 Douglas Avenue, Ames, SE 1/4 of NW 1/4 of Section 2, T84N, R24W, Ames East Quad, Story County.","42.03027778, -93.61333333",271,Home garden setting.  Full sun with no slope.  Occasional population abundance.,CULTIVATED,"811 Kellogg Avenue site: tree approximately 2-3 feet in diameter, growing in very dry conditions, quite thin throughout, very open branching, approximately 30-50% filled seed collected, leaves are much smaller (5-10 cm), petioles are shorter in length as well, edges of leaves starting to turn brown due to drought, no signs of fall color.  904 Kellogg Avenue site: tree approximately 4 feet in diameter, fairly good health, approximately 50-70% filled seed collected, a few leaves (5%) in bright yellow fall color, very clean leaves, no signs of drought stress, a few branches shaded in tree were starting to die.  915 Douglas Avenue site: tree approximately 4 feet in diameter, tree in very good health, full canopy, approximately 50-60% filled seed collected, nice leathery dark green leaves, no signs of drought stress, no fall color yet (still very green).",1707770,Ames 28311,Acer,Subsp.,nigrum,Acer saccharum,Acer saccharum subsp. nigrum
DVIT 1296,DVIT 1296,Vitis acerifolia Raf.,"California, United States",DAV,,Add to cart,1981,DONATED,1/1/1981,,,,,WILD,Type = species. Flower = male.,1012751,DVIT 1296,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 1297,DVIT 1297,Vitis acerifolia Raf.,"California, United States",DAV,,Add to cart,1981,DONATED,1/1/1981,,,,,WILD,Type = species. Flower = male.,1012761,DVIT 1297,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 1299,DVIT 1299,Vitis acerifolia Raf.,,DAV,,Add to cart,1900,,,,,,,WILD,,1012776,DVIT 1299,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 1396,DVIT 1396,Vitis acerifolia Raf.,,DAV,,Add to cart,1900,,,,,,,WILD,,1013508,DVIT 1396,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 1397,DVIT 1397,Vitis acerifolia Raf.,,DAV,,Add to cart,1900,,,,,,,WILD,,1013514,DVIT 1397,Vitis,,,Vitis acerifolia,Vitis acerifolia  
DVIT 1398,DVIT 1398,Vitis acerifolia Raf.,,DAV,,Add to cart,1900,,,,,,,WILD,,1013520,DVIT 1398,Vitis,,,Vitis acerifolia,Vitis acerifolia  
