NAME,DETAILS,TAXONOMY,LATITUDE_MEAN,LONGITUDE_MEAN,LATITUDE,LONGITUDE,PROVINCE,COUNTRY,COLLECTION,Genus,Rank,Infraspecific,Species,Taxon
CN 110556,205-4,Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 40480,'Zhongshang Yuan',Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 110547,CN 110547,Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 110548,CN 110548,Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 110549,CN 110549,Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 110550,102-1,Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 110551,103-2,Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 110552,104-4,Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 110553,201-3,Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 110554,202-1,Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 110555,204-2,Amaranthus hybridus L.,,,,,NA,NA,PGRC,Amaranthus,,,Amaranthus hybridus,Amaranthus hybridus  
CN 41152,PGR 14202,Amelanchier spicata (Lam.) K. Koch,,,,,NA,NA,PGRC,Amelanchier,,,Amelanchier spicata,Amelanchier spicata  
CN 103482,PRU0325,Prunus cerasus L.,51.070358,-113.770527,50.7656161,-113.7449892,Alberta,Canada,CCG,Prunus,,,Prunus cerasus,Prunus cerasus  
CN 103531,PRU0312,Prunus fruticosa Pall.,51.070358,-113.770527,51.10653791,-113.9799935,Alberta,Canada,CCG,Prunus,,,Prunus fruticosa,Prunus fruticosa  
CN 42967,'Thiessen',Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,,,,NA,NA,PGRC,Amelanchier,,,Amelanchier alnifolia,Amelanchier alnifolia  
CN 43204,'Smoky',Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,,,,NA,NA,PGRC,Amelanchier,,,Amelanchier alnifolia,Amelanchier alnifolia  
CN 31239,PGR 2360,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,,,,NA,NA,PGRC,Amelanchier,,,Amelanchier alnifolia,Amelanchier alnifolia  
CN 41152,PGR 14202,Amelanchier spicata (Lam.) K. Koch,,,,,NA,NA,PGRC,Amelanchier,,,Amelanchier spicata,Amelanchier spicata  
CN 103532,PRU0310,Prunus fruticosa Pall.,51.070358,-113.770527,51.17660501,-113.9328316,Alberta,Canada,CCG,Prunus,,,Prunus fruticosa,Prunus fruticosa  
CN 103535,PRU0149,Prunus ×knudsonii Rosend. & Butters,51.070358,-113.770527,51.13741962,-113.6282191,Alberta,Canada,CCG,Prunus,,,Prunus ×knudsonii,Prunus ×knudsonii  
CN 42967,'Thiessen',Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,,,,NA,NA,PGRC,Amelanchier,,,Amelanchier alnifolia,Amelanchier alnifolia  
CN 43204,'Smoky',Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,,,,NA,NA,PGRC,Amelanchier,,,Amelanchier alnifolia,Amelanchier alnifolia  
CN 31239,PGR 2360,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,,,,NA,NA,PGRC,Amelanchier,,,Amelanchier alnifolia,Amelanchier alnifolia  
CN 103567,PRU0410,Prunus ×knudsonii Rosend. & Butters,51.070358,-113.770527,51.16498244,-113.8446254,Alberta,Canada,CCG,Prunus,,,Prunus ×knudsonii,Prunus ×knudsonii  
CN 103643,PRU0221,Prunus besseyi L. H. Bailey,51.070358,-113.770527,51.60745144,-113.7606569,Alberta,Canada,CCG,Prunus,,,Prunus besseyi,Prunus besseyi  
CN 103644,PRU0110,Prunus domestica L.,51.070358,-113.770527,51.20201685,-113.4578311,Alberta,Canada,CCG,Prunus,,,Prunus domestica,Prunus domestica  
CN 103645,PRU0404,Prunus salicina Lindl.,51.070358,-113.770527,51.38543633,-114.2791267,Alberta,Canada,CCG,Prunus,,,Prunus salicina,Prunus salicina  
CN 103646,PRU0107,Prunus domestica L.,51.070358,-113.770527,50.89361944,-113.8046796,Alberta,Canada,CCG,Prunus,,,Prunus domestica,Prunus domestica  
CN 103661,PRU0318,Prunus virginiana L.,51.070358,-113.770527,51.28450949,-113.5858495,Alberta,Canada,CCG,Prunus,,,Prunus virginiana,Prunus virginiana  
CN 103662,PRU0319,Prunus virginiana L.,51.070358,-113.770527,50.82187623,-113.6429635,Alberta,Canada,CCG,Prunus,,,Prunus virginiana,Prunus virginiana  
CN 103665,PRU0322,Prunus virginiana L.,51.070358,-113.770527,51.40527556,-113.7836663,Alberta,Canada,CCG,Prunus,,,Prunus virginiana,Prunus virginiana  
CN 103666,PRU0323,Prunus virginiana L.,51.070358,-113.770527,51.25226249,-113.6919747,Alberta,Canada,CCG,Prunus,,,Prunus virginiana,Prunus virginiana  
CN 103667,PRU0324,Prunus virginiana L.,51.070358,-113.770527,51.15383329,-113.5750681,Alberta,Canada,CCG,Prunus,,,Prunus virginiana,Prunus virginiana  
CN 43348,PGR 16585,Elymus batalinii (Krasn.) Á. Löve,,,,,Alma-Ata,Kazakhstan,PGRC,Elymus,,,Elymus batalinii,Elymus batalinii  
CN 43349,PGR 16586,Elymus drobovii (Nevski) Tzvelev,,,,,NA,NA,PGRC,Elymus,,,Elymus drobovii,Elymus drobovii  
CN 43350,PGR 16587,Elymus mutabilis (Drobow) Tzvelev,,,,,NA,NA,PGRC,Elymus,,,Elymus mutabilis,Elymus mutabilis  
CN 43351,PGR 16588,Elymus transhyrcanus (Nevski) Tzvelev,,,,,NA,NA,PGRC,Elymus,,,Elymus transhyrcanus,Elymus transhyrcanus  
CN 43352,'Jaaska 38-73',Elymus tschimganicus (Drobow) Tzvelev,,,,,NA,NA,PGRC,Elymus,,,Elymus tschimganicus,Elymus tschimganicus  
CN 43353,PGR 16590,Elymus nevskii Tzvelev,,,,,Alma-Ata,Kazakhstan,PGRC,Elymus,,,Elymus nevskii,Elymus nevskii  
CN 43354,D2818,Elymus vaillantianus (Wulfen) K. B. Jensen,,,,,Utah,United States,PGRC,Elymus,,,Elymus vaillantianus,Elymus vaillantianus  
CN 43473,PGR 16825,Elymus trachycaulus (Link) Gould ex Shinners,,,,,NA,NA,PGRC,Elymus,,,Elymus trachycaulus,Elymus trachycaulus  
CN 43474,PGR 16826,Elymus trachycaulus (Link) Gould ex Shinners,,,,,NA,NA,PGRC,Elymus,,,Elymus trachycaulus,Elymus trachycaulus  
CN 43479,Cherga 5,Elymus dahuricus Turcz. ex Griseb. subsp. excelsus (Turcz. ex Griseb.) Tzvelev,,,,,Altay,Russian Federation,PGRC,Elymus,subsp.,excelsus,Elymus dahuricus,Elymus dahuricus subsp. excelsus
CN 43480,PGR 16832,Elymus dahuricus Turcz. ex Griseb. subsp. excelsus (Turcz. ex Griseb.) Tzvelev,,,,,Amur,Russian Federation,PGRC,Elymus,subsp.,excelsus,Elymus dahuricus,Elymus dahuricus subsp. excelsus
CN 43484,PGR 16836,Elymus gmelinii (Trin.) Tzvelev,,,,,NA,NA,PGRC,Elymus,,,Elymus gmelinii,Elymus gmelinii  
CN 42556,'Sodar',Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. lanceolatus,,,,,NA,NA,PGRC,Elymus,subsp.,lanceolatus,Elymus lanceolatus,Elymus lanceolatus subsp. lanceolatus
CN 42572,'Primar',Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,,,,,NA,NA,PGRC,Elymus,subsp.,trachycaulus,Elymus trachycaulus,Elymus trachycaulus subsp. trachycaulus
CN 42573,'Sodar',Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. lanceolatus,,,,,NA,NA,PGRC,Elymus,subsp.,lanceolatus,Elymus lanceolatus,Elymus lanceolatus subsp. lanceolatus
CN 32282,PGR 3731,Elymus canadensis L.,,,,,NA,NA,PGRC,Elymus,,,Elymus canadensis,Elymus canadensis  
CN 32305,PGR 3758,Elymus canadensis L.,,,,,NA,NA,PGRC,Elymus,,,Elymus canadensis,Elymus canadensis  
CN 37154,'Elbee',Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. lanceolatus,,,,,NA,NA,PGRC,Elymus,subsp.,lanceolatus,Elymus lanceolatus,Elymus lanceolatus subsp. lanceolatus
CN 40478,PGR 13515,Elymus dahuricus Turcz. ex Griseb.,,,,,NA,NA,PGRC,Elymus,,,Elymus dahuricus,Elymus dahuricus  
CN 40479,PGR 13516,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 32276,PGR 3725,Elymus virginicus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus virginicus,Elymus virginicus  
CN 39690,HE-4-1,Elymus arizonicus (Scribn. & J. G. Sm.) Gould,,,,,New Mexico,United States,PGRC,Elymus,,,Elymus arizonicus,Elymus arizonicus  
CN 39692,PGR 12663,Elymus caninus (L.) L.,,,,,NA,NA,PGRC,Elymus,,,Elymus caninus,Elymus caninus  
CN 39696,TS-15-1,"Elymus trachycaulus (Link) Gould ex Shinners subsp. latiglumis (Scribn. & J. G. Sm.) Barkworth & D. R. Dewey, nom. inval.",,,,,NA,NA,PGRC,Elymus,subsp.,latiglumis,Elymus trachycaulus,Elymus trachycaulus subsp. latiglumis
CN 39698,GC-73-51,Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. lanceolatus,,,,,Wyoming,United States,PGRC,Elymus,subsp.,lanceolatus,Elymus lanceolatus,Elymus lanceolatus subsp. lanceolatus
CN 39699,CS-8-41,Elymus scribneri (Vasey) M. E. Jones,,,,,Utah,United States,PGRC,Elymus,,,Elymus scribneri,Elymus scribneri  
CN 40193,PGR 13196,Elymus dahuricus Turcz. ex Griseb.,,,,,Amur,Russian Federation,PGRC,Elymus,,,Elymus dahuricus,Elymus dahuricus  
CN 40063,'Karabalykskij 86',Elymus trachycaulus (Link) Gould ex Shinners,,,,,NA,NA,PGRC,Elymus,,,Elymus trachycaulus,Elymus trachycaulus  
CN 40064,'Kamalinskij 185',Elymus trachycaulus (Link) Gould ex Shinners,,,,,Altay,Russian Federation,PGRC,Elymus,,,Elymus trachycaulus,Elymus trachycaulus  
CN 40065,PGR 13057,Elymus dahuricus Turcz. ex Griseb.,,,,,NA,NA,PGRC,Elymus,,,Elymus dahuricus,Elymus dahuricus  
CN 40066,PGR 13058,Elymus dahuricus Turcz. ex Griseb. subsp. excelsus (Turcz. ex Griseb.) Tzvelev,,,,,NA,NA,PGRC,Elymus,subsp.,excelsus,Elymus dahuricus,Elymus dahuricus subsp. excelsus
CN 40067,PGR 13059,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 40068,PGR 13060,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 40069,PGR 13061,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 40070,PGR 13062,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 38748,189,Elymus repens (L.) Gould subsp. repens,,,,,Trabzon,Turkey,PGRC,Elymus,subsp.,repens,Elymus repens,Elymus repens subsp. repens
CN 103878,RIB0209,Ribes oxyacanthoides L.,51.070358,-113.770527,51.06341933,-114.0853215,Alberta,Canada,CCG,Ribes,,,Ribes oxyacanthoides,Ribes oxyacanthoides  
CN 32724,PGR 4278,Elymus caninus (L.) L.,,,,,NA,NA,PGRC,Elymus,,,Elymus caninus,Elymus caninus  
CN 32972,'Revenue',Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,,,,,NA,NA,PGRC,Elymus,subsp.,trachycaulus,Elymus trachycaulus,Elymus trachycaulus subsp. trachycaulus
CN 31730,PGR 3011,Elymus virginicus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus virginicus,Elymus virginicus  
CN 32775,PGR 4339,Elymus villosus Muhl. ex Willd.,,,,,NA,NA,PGRC,Elymus,,,Elymus villosus,Elymus villosus  
CN 32776,PGR 4340,Elymus virginicus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus virginicus,Elymus virginicus  
CN 32368,PGR 3835,Elymus canadensis L.,,,,,NA,NA,PGRC,Elymus,,,Elymus canadensis,Elymus canadensis  
CN 32840,PGR 4409,Hordelymus europaeus (L.) Harz,,,,,NA,NA,PGRC,Hordelymus,,,Hordelymus europaeus,Hordelymus europaeus  
CN 31614,PGR 2864,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 31615,PGR 2865,Elymus virginicus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus virginicus,Elymus virginicus  
CN 31616,PGR 2866,Elymus dahuricus Turcz. ex Griseb.,,,,,NA,NA,PGRC,Elymus,,,Elymus dahuricus,Elymus dahuricus  
CN 31644,PGR 2907,Elymus glaucus Buckley,,,,,NA,NA,PGRC,Elymus,,,Elymus glaucus,Elymus glaucus  
CN 32644,PGR 4189,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 32663,PGR 4208,Elymus canadensis L.,,,,,NA,NA,PGRC,Elymus,,,Elymus canadensis,Elymus canadensis  
CN 32464,PGR 3946,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 18939,'AEC Mountaineer',Elymus trachycaulus (Link) Gould ex Shinners subsp. violaceus (Hornem.) Á. Löve & D. Löve,,,,,NA,NA,PGRC,Elymus,subsp.,violaceus,Elymus trachycaulus,Elymus trachycaulus subsp. violaceus
CN 45952,IB 0717,Elymus tsukushiensis Honda,,,,,NA,NA,PGRC,Elymus,,,Elymus tsukushiensis,Elymus tsukushiensis  
