"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"1","Abies balsamea","Fir","Abies","Abies balsamea",NA,NA,"Y","Y","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",225,96,129
"2","Acer pensylvanicum","Sugar Maple","Acer","Acer pensylvanicum",NA,NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",81,43,38
"3","Acer rubrum","Sugar Maple","Acer","Acer rubrum",NA,NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",468,240,228
"4","Amelanchier laevis","Saskatoon","Amelanchier","Amelanchier laevis",NA,NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",47,42,5
"5","Acer saccharinum","Sugar Maple","Acer","Acer saccharinum",NA,NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",126,125,1
"6","Acer spicatum","Sugar Maple","Acer","Acer spicatum",NA,NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","",96,37,59
"7","Alnus incana subsp. rugosa","Alder","Alnus","Alnus incana","subsp.","rugosa","Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",21,8,13
"8","Alnus rubra","Alder","Alnus","Alnus rubra",NA,NA,"Y","Y","Y","inner bark and catkins","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",44,6,38
"9","Amelanchier alnifolia var. alnifolia","Saskatoon","Amelanchier","Amelanchier alnifolia","var.","alnifolia","Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Progenitor","1A","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",193,122,71
"10","Betula alleghaniensis","Birch","Betula","Betula alleghaniensis",NA,NA,"Y","Y","Y","twigs and sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",247,55,192
