SPECIES,ECO_NAME,latitude,longitude,GARDEN_CODE,INSTITUTION,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,UNABLE_TO_ASSIGN_GEO_DISTR,FINEST_TAXON_RESOLUTION.y,CWR,WUS,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,total_CWRs_in_ecoregion,endemic_CWRs_in_ecoregion,total_WUS_in_ecoregion,endemic_WUS_in_ecoregion,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res
Abies amabilis,Montane Cordillera,55.2166,-125.85,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,78,0,166,1,25,15,10
Abies amabilis,North Cascades,50.05,-122.3667,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,59,0,157,0,25,15,10
Abies amabilis,North Cascades,49.48356,-123.56923,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,59,0,157,0,25,15,10
Abies amabilis,Okanagan,49.78333,-121.0833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,93,5,203,17,25,15,10
Abies amabilis,Okanagan,50.53333,-122.7833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,93,5,203,17,25,15,10
Abies amabilis,Okanagan,49.65,-121.1,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,93,5,203,17,25,15,10
Abies amabilis,Pacific Northwest Coast,49.142627,-125.835069,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,67,1,154,0,25,15,10
Abies amabilis,Pacific Northwest Coast,49.75,-125.25,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,67,1,154,0,25,15,10
Abies amabilis,Pacific Northwest Coast,50.4,-126,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,67,1,154,0,25,15,10
Abies amabilis,Pacific Northwest Coast,48.66667,-124.0833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,67,1,154,0,25,15,10
Abies amabilis,S.E. Alaska - B.C. Coastal Forest And Mountains,55.3166,-128.75,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,52,1,154,3,25,15,10
Abies amabilis,S.E. Alaska - B.C. Coastal Forest And Mountains,54.8,-128.8833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,52,1,154,3,25,15,10
Abies amabilis,S.E. Alaska - B.C. Coastal Forest And Mountains,55.1,-127.4,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,52,1,154,3,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
