GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
NPGS,G,Abies balsamea,COLLECTED,United States,,43.40106767,-91.906592,Iowa,Add to cart
NPGS,G,Abies balsamea,COLLECTED,United States,,44.44916667,-74.26138889,New York,Not Available
NPGS,G,Abies balsamea,COLLECTED,NA,,NA,NA,NA,Not Available
NPGS,G,Abies grandis,COLLECTED,United States,,42.01076,-123.56506,Oregon,Add to cart
NPGS,G,Abies lasiocarpa,COLLECTED,United States,,41.07892,-109.29383,Wyoming,Not Available
NPGS,G,Abies lasiocarpa,COLLECTED,United States,,NA,NA,Wyoming,Not Available
NPGS,G,Abies lasiocarpa,COLLECTED,United States,,47.58978,-120.76301,Washington,Add to cart
NPGS,G,Acer circinatum,COLLECTED,United States,,NA,NA,Oregon,Not Available
NPGS,G,Acer circinatum,COLLECTED,United States,,NA,NA,Oregon,Not Available
NPGS,G,Acer circinatum,COLLECTED,United States,,45.15976,-122.14763,Oregon,Not Available
NPGS,G,Acer circinatum,COLLECTED,United States,,47.609911,-120.858237,Washington,Not Available
NPGS,G,Acer circinatum,COLLECTED,United States,,42.0115,-123.56265,Oregon,Not Available
NPGS,G,Acer glabrum,COLLECTED,United States,,NA,NA,Oregon,Not Available
NPGS,G,Acer glabrum,COLLECTED,NA,,NA,NA,NA,Not Available
NPGS,G,Acer glabrum,COLLECTED,United States,,39.66686,-105.2638,Colorado,Not Available
NPGS,G,Acer glabrum,COLLECTED,United States,,44.04058,-116.07715,Idaho,Not Available
NPGS,G,Acer glabrum,COLLECTED,United States,,42.05385,-122.79556,Oregon,Not Available
NPGS,G,Acer glabrum,COLLECTED,United States,,NA,NA,Colorado,Not Available
NPGS,G,Acer glabrum,COLLECTED,United States,,NA,NA,Oregon,Not Available
NPGS,G,Acer glabrum,COLLECTED,United States,,45.15985,-122.14753,Oregon,Not Available
NPGS,G,Acer glabrum,COLLECTED,United States,,NA,NA,California,Not Available
NPGS,G,Acer macrophyllum,COLLECTED,United States,,46.415733,-122.533791,Washington,Not Available
NPGS,G,Acer macrophyllum,COLLECTED,United States,,NA,NA,Washington,Not Available
NPGS,G,Acer macrophyllum,COLLECTED,United States,,NA,NA,Oregon,Not Available
NPGS,G,Acer macrophyllum,COLLECTED,United States,,NA,NA,California,Not Available
NPGS,G,Acer macrophyllum,COLLECTED,United States,,42.0191,-123.57185,Oregon,Not Available
