GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
PGRC,G,Abies balsamea,,CAN,Bear River,44.58333,-65.66666,,
PGRC,G,Abies balsamea,,CAN,Notre-Dame-de-Lourdes,46.06667,-73.5,,
PGRC,G,Abies balsamea,,CAN,Lac-Pare,46.16667,-73.86667,,
PGRC,G,Abies balsamea,,CAN,Acadia Research Forest,46.01667,-66.36667,,
PGRC,G,Abies balsamea,,CAN,Acadia Research Forest,46.01667,-66.36667,,
PGRC,G,Abies balsamea,,CAN,Acadia Research Forest,46.01667,-66.36667,,
PGRC,G,Abies balsamea,,CAN,Acadia Research Forest,46.01667,-66.36667,,
PGRC,G,Abies balsamea,,CAN,Acadia Research Forest,46.01667,-66.36667,,
PGRC,G,Abies balsamea,,CAN,Acadia Research Forest,46.01667,-66.36667,,
PGRC,G,Abies balsamea,,CAN,Acadia Research Forest,46.01667,-66.36667,,
PGRC,G,Abies balsamea,,CAN,Acadia Research Forest,46.01667,-66.36667,,
PGRC,G,Abies balsamea,,CAN,Harewood,46.13334,-65.15,,
PGRC,G,Abies balsamea,,CAN,Harewood,46.13334,-65.15,,
PGRC,G,Abies balsamea,,CAN,Harewood,46.13334,-65.15,,
PGRC,G,Abies balsamea,,CAN,Shell Camp Lake,44.83333,-64.83334,,
PGRC,G,Abies balsamea,,CAN,Shell Camp Lake,44.83333,-64.83334,,
PGRC,G,Abies balsamea,,CAN,Shell Camp Lake,44.83333,-64.83334,,
PGRC,G,Abies balsamea,,CAN,Shell Camp Lake,44.83333,-64.83334,,
PGRC,G,Abies balsamea,,CAN,Clair,47.31667,-68.68333,,
PGRC,G,Abies balsamea,,CAN,Clair,47.31667,-68.68333,,
PGRC,G,Abies balsamea,,CAN,Clair,47.31667,-68.68333,,
PGRC,G,Abies balsamea,,CAN,Clair,47.31667,-68.68333,,
PGRC,G,Abies balsamea,,CAN,Clair,47.31667,-68.68333,,
PGRC,G,Abies balsamea,,CAN,Clair,47.31667,-68.68333,,
PGRC,G,Abies balsamea,,CAN,Clair,47.31667,-68.68333,,
PGRC,G,Abies balsamea,,CAN,Clair,47.31667,-68.68333,,
PGRC,G,Abies balsamea,,CAN,Clair,47.31667,-68.68333,,
PGRC,G,Abies balsamea,,CAN,Clair,47.31667,-68.68333,,
