GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
PGRC,G,Achillea millefolium,,Canada,,49.60967896,-122.3571822,British Columbia,
PGRC,G,Achillea millefolium,,Canada,,49.25732308,-122.4171318,British Columbia,
PGRC,G,Achillea millefolium,,Canada,,49.66414146,-122.2756744,British Columbia,
PGRC,G,Achillea millefolium,,Canada,,49.41499313,-122.9231524,British Columbia,
PGRC,G,Agrostis perennans,,Canada,,46.3132777,-63.20939165,Prince Edward Island,
PGRC,G,Agrostis perennans,,Canada,,46.48352421,-63.15536438,Prince Edward Island,
PGRC,G,Agrostis scabra,,Canada,,50.16275666,-97.75167368,Manitoba,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amaranthus hybridus,,NA,,NA,NA,NA,
PGRC,G,Amelanchier alnifolia,,Canada,,51.58711709,-106.6391263,Saskatchewan,
PGRC,G,Amelanchier alnifolia,,Canada,,49.41499313,-122.9231524,British Columbia,
PGRC,G,Amelanchier alnifolia,,NA,,NA,NA,NA,
PGRC,G,Amelanchier alnifolia,,NA,,NA,NA,NA,
PGRC,G,Amelanchier alnifolia,,NA,,NA,NA,NA,
PGRC,G,Amelanchier alnifolia,,NA,,NA,NA,NA,
PGRC,G,Amelanchier alnifolia,,NA,,NA,NA,NA,
PGRC,G,Amelanchier spicata,,NA,,NA,NA,NA,
PGRC,G,Amelanchier spicata,,NA,,NA,NA,NA,
PGRC,G,Amelanchier spicata,,Canada,,44.76797564,-63.28573892,Nova Scotia,
PGRC,G,Amelanchier spicata,,Canada,,44.92933727,-63.04317225,Nova Scotia,
