GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
8,BG,Amelanchier alnifolia,,,5,,,,
8,BG,Amelanchier alnifolia,,,98,,,,
8,BG,Amelanchier alnifolia,,,Al Wes,,,,
8,BG,Amelanchier alnifolia,,,Bargholz,,,,
8,BG,Amelanchier alnifolia,,,Beaubier,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,Al Wes Shell Lake,53.305627,-107.062686,,
8,BG,Amelanchier alnifolia,,,1177,,,,
8,BG,Amelanchier alnifolia,,,Gallaher NW,,,,
8,BG,Amelanchier alnifolia,,,Gallaher RF,,,,
8,BG,Amelanchier alnifolia,,,Hawes '97,,,,
8,BG,Amelanchier alnifolia,,,Hawes '98,,,,
8,BG,Amelanchier alnifolia,,,Hawton,,,,
8,BG,Amelanchier alnifolia,,,Holodniuk,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,Campbell,,,,
8,BG,Amelanchier alnifolia,,,Dyck,,,,
8,BG,Amelanchier alnifolia,,,Eberts,,,,
8,BG,Amelanchier alnifolia,,,Engele,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,Tom Ward,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,"Brent Zettl, Rodney Parenteau",,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,"Innes, Alvina, SK",49.59922,-103.350429,,
8,BG,Amelanchier alnifolia,,,"Innes, Borden, SK",49.59922,-103.350429,,
8,BG,Amelanchier alnifolia,,,Kalenchuk,,,,
8,BG,Amelanchier alnifolia,,,Dieter Martin,,,,
8,BG,Amelanchier alnifolia,,,Meadow Lake,54.129719,-108.433903,,
8,BG,Amelanchier alnifolia,,,Muir,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,Soron,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,Wicks,,,,
8,BG,Amelanchier alnifolia,,,Beaverlodge Nursery,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
8,BG,Amelanchier alnifolia,,,,,,,
