GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
NPGS,G,Amelanchier sanguinea,BREEDING,United States,,NA,NA,Iowa,
NPGS,G,Corylus americana,BREEDING,United States,,NA,NA,Missouri,
NPGS,G,Corylus americana,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Corylus americana,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Corylus americana,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Corylus cornuta,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Corylus cornuta,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Corylus cornuta,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Corylus cornuta,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Maryland,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Maryland,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Maryland,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Maryland,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Maryland,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Florida,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,California,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Maryland,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Maryland,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Oregon,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Maryland,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Maryland,
NPGS,G,Fragaria ×ananassa,BREEDING,United States,,NA,NA,Oregon,
