GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
4,BG,Abies balsamea,uncertain,,,,,,
4,BG,Abies balsamea,from a cultivated plant not of known wild origin,,,,,,
4,BG,Abies balsamea,from a cultivated plant not of known wild origin,,,,,,
4,BG,Abies balsamea,collected directly from wild; origin known,Canada,from wild area,45.115229,-79.575698,Ontario,
4,BG,Abies balsamea,from a cultivated plant not of known wild origin,,,,,,
4,BG,Abies lasiocarpa,from a cultivated plant not of known wild origin,,,,,,
4,BG,Abies lasiocarpa,from a cultivated plant not of known wild origin,,,,,,
4,BG,Abies lasiocarpa,from a cultivated plant not of known wild origin,,,,,,
4,BG,Abies lasiocarpa,from a cultivated plant not of known wild origin,,,,,,
4,BG,Abies lasiocarpa,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer negundo,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer negundo,collected directly from wild; origin known,Canada,From Hendrie Valley near Lamb's Hollow Bridge to Arb. Native tree and shrub col. area #4,43.2925,-79.879393,Ontario,
4,BG,Acer pensylvanicum,uncertain,,,,,,
4,BG,Acer pensylvanicum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,uncertain,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer rubrum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharinum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharinum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharinum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharinum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,uncertain,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,collected directly from wild; origin known,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Acer saccharum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Achillea millefolium,from a cultivated plant not of known wild origin,,,,,,
4,BG,Achillea millefolium,from a cultivated plant not of known wild origin,,,,,,
4,BG,Achillea millefolium,from a cultivated plant not of known wild origin,,,,,,
4,BG,Achillea millefolium,from a cultivated plant not of known wild origin,,,,,,
4,BG,Agastache foeniculum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Agastache foeniculum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Agastache foeniculum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Agastache foeniculum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Agastache foeniculum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Agastache nepetoides,from a cultivated plant not of known wild origin,,,,,,
4,BG,Allium cernuum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Allium cernuum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Allium cernuum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Allium schoenoprasum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Allium schoenoprasum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier arborea,collected directly from wild; origin known,,,,,,
4,BG,Amelanchier canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier intermedia,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier laevis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier laevis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier laevis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier laevis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Amelanchier laevis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Arctostaphylos uva-ursi,from a cultivated plant not of known wild origin,,,,,,
4,BG,Aruncus dioicus,uncertain,,,,,,
4,BG,Aruncus dioicus,from a cultivated plant not of known wild origin,,,,,,
4,BG,Aruncus dioicus,from a cultivated plant not of known wild origin,,,,,,
4,BG,Aruncus dioicus,from a cultivated plant not of known wild origin,,,,,,
4,BG,Asarum canadense,from a cultivated plant not of known wild origin,,,,,,
4,BG,Asarum canadense,from a cultivated plant not of known wild origin,,,,,,
4,BG,Asarum canadense,from a cultivated plant not of known wild origin,,,,,,
4,BG,Asimina triloba,from a cultivated plant not of known wild origin,,,,,,
4,BG,Asimina triloba,from a cultivated plant not of known wild origin,,,,,,
4,BG,Asimina triloba,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula alleghaniensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula alleghaniensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula lenta,collected directly from wild; origin known,Canada,,43.175716,-79.360395,Ontario,
4,BG,Betula lenta,collected directly from wild; origin known,Canada,Louth Tp.,43.18333,-79.31666,Ontario,
4,BG,Betula papyrifera,uncertain,,,,,,
4,BG,Betula papyrifera,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula papyrifera,uncertain,,,,,,
4,BG,Betula papyrifera,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula papyrifera,uncertain,,,,,,
4,BG,Betula papyrifera,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula papyrifera,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula papyrifera,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula papyrifera,uncertain,,,,,,
4,BG,Betula papyrifera,uncertain,,,,,,
4,BG,Betula papyrifera,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula populifolia,collected directly from wild; origin known,Canada,"COL. OTTAWA, CA 45.24, 75.33, 70m single tree",45.4,-75.55,Ontario,
4,BG,Betula populifolia,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula populifolia,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula populifolia,collected directly from wild; origin known,United States,Louis W. Campbell State Nature Preserve,,,Ohio,
4,BG,Betula populifolia,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula populifolia,from a cultivated plant not of known wild origin,,,,,,
4,BG,Betula populifolia,from a cultivated plant not of known wild origin,,,,,,
4,BG,Camassia quamash,from a cultivated plant not of known wild origin,,,,,,
4,BG,Camassia quamash,from a cultivated plant not of known wild origin,,,,,,
4,BG,Carya cordiformis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Carya cordiformis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Carya ovata,uncertain,,,,,,
4,BG,Carya ovata,collected directly from wild; origin known,Canada,From Old Rhodo site-wild area,,,Ontario,
4,BG,Carya ovata,uncertain,,,,,,
4,BG,Castanea dentata,collected directly from wild; origin known,Canada,Dundas mother tree,43.22069,-80.02657,Ontario,
4,BG,Celtis occidentalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Celtis occidentalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Celtis occidentalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Celtis occidentalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Celtis occidentalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Claytonia virginica,from a cultivated plant not of known wild origin,,,,,,
4,BG,Cornus canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Cornus sericea,from a cultivated plant not of known wild origin,,,,,,
4,BG,Cornus sericea,from a cultivated plant not of known wild origin,,,,,,
4,BG,Cornus sericea,from a cultivated plant not of known wild origin,,,,,,
4,BG,Corylus americana,from a cultivated plant not of known wild origin,,,,,,
4,BG,Corylus cornuta subsp. cornuta,from a cultivated plant not of known wild origin,,,,,,
4,BG,Elymus canadensis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Erythronium americanum subsp. americanum,from a cultivated plant not of known wild origin,,,,,,
4,BG,Fagus grandifolia,from a cultivated plant not of known wild origin,,,,,,
4,BG,Fagus grandifolia,from a cultivated plant not of known wild origin,,,,,,
4,BG,Fagus grandifolia,from a cultivated plant not of known wild origin,,,,,,
4,BG,Fragaria vesca,from a cultivated plant not of known wild origin,,,,,,
4,BG,Hamamelis virginiana,from a cultivated plant not of known wild origin,,,,,,
4,BG,Hamamelis virginiana,from a cultivated plant not of known wild origin,,,,,,
4,BG,Hamamelis virginiana,from a cultivated plant not of known wild origin,,,,,,
4,BG,Hamamelis virginiana,collected directly from wild; origin known,,,,,,
4,BG,Hamamelis virginiana,from a cultivated plant not of known wild origin,,,,,,
4,BG,Hamamelis virginiana,from a cultivated plant not of known wild origin,,,,,,
4,BG,Hamamelis virginiana,from a cultivated plant not of known wild origin,,,,,,
4,BG,Hamamelis virginiana,from a cultivated plant not of known wild origin,,,,,,
4,BG,Helianthus strumosus,from a cultivated plant not of known wild origin,,,,,,
4,BG,Humulus lupulus,uncertain,,,,,,
4,BG,Juglans cinerea,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juglans nigra,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juglans nigra,collected directly from wild; origin known,Canada,RBG-ARB,,,Ontario,
4,BG,Juglans nigra,uncertain,,,,,,
4,BG,Juglans nigra,uncertain,,,,,,
4,BG,Juglans nigra,uncertain,,,,,,
4,BG,Juniperus communis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus communis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus communis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus communis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus communis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus horizontalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus horizontalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus horizontalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus horizontalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus horizontalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus horizontalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus horizontalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus horizontalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus horizontalis,from a cultivated plant not of known wild origin,,,,,,
4,BG,Juniperus horizontalis,from a cultivated plant not of known wild origin,,,,,,
