"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","X..COLLECTION","TAXON.y","RECD_AS","W.wild.source.z.cultivated.source.but.of.known.wild.origin","PSOURCE_ORIGINAL","COLLECTION_INFORMATION","How.Received","Location.code","Qté","ID.verified","VERI_BY","VERI_DT","FAMILY","NAME","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"1","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","2012-2001*E","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ARB","1"," "," "," ","Pinaceae","Abies balsamea","Abies","balsamea","","","","","Abies balsamea"
"2","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","1758-51-1984*C","Abies balsamea 'Hudsonia'","Abies balsamea 'Hudsonia'","G","H.A. Hesse, Weener, Allemagne"," ","PT","JALP-R","2"," "," "," ","Pinaceae","Abies balsamea 'Hudsonia'","Abies","balsamea","","","","","Abies balsamea"
"3","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","2012-2001*D","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-PES","12"," "," "," ","Pinaceae","Abies balsamea","Abies","balsamea","","","","","Abies balsamea"
"4","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","2012-2001*C","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ERB","3"," "," "," ","Pinaceae","Abies balsamea","Abies","balsamea","","","","","Abies balsamea"
"5","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","2012-2001*I","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ALP","1"," "," "," ","Pinaceae","Abies balsamea","Abies","balsamea","","","","","Abies balsamea"
"6","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","527-2005*A","Abies balsamea","Abies balsamea","W","Carrière, D., Qc","Canada: Québec: Parc du Mont Tremblant. s.n. 1 Jul 2004.","PT","JALP-1","1"," "," "," ","Pinaceae","Abies balsamea","Abies","balsamea","","","","","Abies balsamea"
"7","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","1417-2008*A","Abies balsamea 'Albospicata'","Abies balsamea 'Albospicata'","G","Iseli Nursery"," ","PT","JFRU-08A","1"," "," "," ","Pinaceae","Abies balsamea 'Albospicata'","Abies","balsamea","","","","","Abies balsamea"
"8","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","2012-2001*G","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ALP","1"," "," "," ","Pinaceae","Abies balsamea","Abies","balsamea","","","","","Abies balsamea"
"9","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","1758-51-1984*B","Abies balsamea 'Hudsonia'","Abies balsamea 'Hudsonia'","G","H.A. Hesse, Weener, Allemagne"," ","PT","JALP-1","2"," "," "," ","Pinaceae","Abies balsamea 'Hudsonia'","Abies","balsamea","","","","","Abies balsamea"
"10","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","2315-2000*A","Abies balsamea","Abies balsamea","W","Viola, Stefano","Canada: Québec: Durham-sud, cté de Drummond. s.n. 25 May 2000.","PT","JPRE-PES","4"," "," "," ","Pinaceae","Abies balsamea","Abies","balsamea","","","","","Abies balsamea"
"11","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","38-2011*A","Abies balsamea 'Tyler Blue'","Abies balsamea 'Tyler Blue'","G","Au Jardin de Jean-Pierre enr., Qc"," ","PT","JFRU-ROC","1"," "," "," ","Pinaceae","Abies balsamea 'Tyler Blue'","Abies","balsamea","","","","","Abies balsamea"
"12","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","1553-64-1979*B","Abies balsamea 'Nana'","Abies balsamea 'Nana'","G","1857-50 Abies balsamea nana greffés sur 1286-63 A. balsamea"," ","CT","JFRU-ROC","1"," "," "," ","Pinaceae","Abies balsamea 'Nana'","Abies","balsamea","","","","","Abies balsamea"
"13","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","2012-2001*A","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ARB","6"," "," "," ","Pinaceae","Abies balsamea","Abies","balsamea","","","","","Abies balsamea"
"14","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","1553-64-1979*D","Abies balsamea 'Nana'","Abies balsamea 'Nana'","G","1857-50 Abies balsamea nana greffés sur 1286-63 A. balsamea"," ","CT","JALP-1","1"," "," "," ","Pinaceae","Abies balsamea 'Nana'","Abies","balsamea","","","","","Abies balsamea"
