GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
5,BG,Abies balsamea,,Canada,,,,,6
5,BG,Abies lasiocarpa,,Canada,,,,,3
5,BG,Acer circinatum,,Canada,,,,,1
5,BG,Acer pensylvanicum,,Canada,,,,,3
5,BG,Acer rubrum,,Canada,,,,,116
5,BG,Acer rubrum,,Canada,,,,,2
5,BG,Acer saccharinum,,Canada,,,,,1
5,BG,Acer saccharinum,,Canada,,,,,227
5,BG,Acer saccharinum,,Canada,,,,,5
5,BG,Acer saccharum,,Canada,,,,,147
5,BG,Acer spicatum,,Canada,,,,,1
5,BG,Amelanchier alnifolia,,Canada,,,,,2
5,BG,Amelanchier canadensis,,Canada,,,,,66
5,BG,Amelanchier laevis,,Canada,,,,,5
5,BG,Asimina triloba,,Canada,,,,,2
5,BG,Betula alleghaniensis,,Canada,,,,,2
5,BG,Betula lenta,,Canada,,,,,3
5,BG,Betula papyrifera,,Canada,,,,,56
5,BG,Betula populifolia,,Canada,,,,,2
5,BG,Carya cordiformis,,Canada,,,,,4
5,BG,Carya laciniosa,,Canada,,,,,1
5,BG,Carya ovata,,Canada,,,,,75
5,BG,Castanea dentata,,Canada,,,,,4
5,BG,Celtis occidentalis,,Canada,,,,,21
5,BG,Cornus sericea,,Canada,,,,,11
5,BG,Cornus sericea,,Canada,,,,,2
5,BG,Fagus grandifolia,,Canada,,,,,18
5,BG,Hamamelis virginiana,,Canada,,,,,6
5,BG,Juglans cinerea,,Canada,,,,,3
5,BG,Juglans nigra,,Canada,,,,,80
5,BG,Juniperus communis,,Canada,,,,,10
5,BG,Juniperus scopulorum,,Canada,,,,,26
5,BG,Juniperus scopulorum,,Canada,,,,,12
5,BG,Magnolia acuminata,,Canada,,,,,6
5,BG,Picea glauca,,Canada,,,,,6
5,BG,Picea glauca,,Canada,,,,,371
5,BG,Picea glauca,,Canada,,,,,1156
5,BG,Picea mariana,,Canada,,,,,5
5,BG,Picea sitchensis,,Canada,,,,,2
5,BG,Pinus ponderosa,,Canada,,,,,4
5,BG,Pinus resinosa,,Canada,,,,,3
5,BG,Prunus americana,,Canada,,,,,13
5,BG,Prunus nigra,,Canada,,,,,1
5,BG,Prunus pensylvanica,,Canada,,,,,2
5,BG,Prunus serotina,,Canada,,,,,26
5,BG,Prunus virginiana,,Canada,,,,,1
5,BG,Prunus virginiana,,Canada,,,,,3
5,BG,Quercus alba,,Canada,,,,,232
5,BG,Quercus bicolor,,Canada,,,,,30
5,BG,Quercus macrocarpa,,Canada,,,,,107
5,BG,Quercus palustris,,Canada,,,,,46
5,BG,Quercus rubra,,Canada,,,,,411
5,BG,Quercus velutina,,Canada,,,,,2
5,BG,Sambucus canadensis,,Canada,,,,,4
5,BG,Sorbus americana,,Canada,,,,,2
5,BG,Sorbus decora,,Canada,,,,,2
5,BG,Thuja occidentalis,,Canada,,,,,960
5,BG,Thuja occidentalis,,Canada,,,,,10
5,BG,Thuja occidentalis,,Canada,,,,,281
5,BG,Thuja occidentalis,,Canada,,,,,9
5,BG,Thuja occidentalis,,Canada,,,,,7
5,BG,Tilia americana,,Canada,,,,,43
5,BG,Tilia americana,,Canada,,,,,1
5,BG,Tsuga canadensis,,Canada,,,,,43
5,BG,Ulmus americana,,Canada,,,,,12
5,BG,Ulmus rubra,,Canada,,,,,38
5,BG,Viburnum acerifolium,,Canada,,,,,1
5,BG,Viburnum dentatum,,Canada,,,,,4
