"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","Botanical.Name","Common.Name","Count","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"1","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea","Balsam Fir",6,"Abies","balsamea","","","","","Abies balsamea"
"2","Abies lasiocarpa","Abies","Abies lasiocarpa",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies lasiocarpa","Rocky Mountain Fir ",3,"Abies","lasiocarpa","","","","","Abies lasiocarpa"
"3","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","Vine Maple",1,"Acer","circinatum","","","","","Acer circinatum"
"4","Acer pensylvanicum","Acer","Acer pensylvanicum",NA,NA,"Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer pensylvanicum","Striped Maple",3,"Acer","pensylvanicum","","","","","Acer pensylvanicum"
"5","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum","Red Maple",116,"Acer","rubrum","","","","","Acer rubrum"
"6","Acer rubrum","Acer","Acer rubrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer rubrum 'Morgan'","Morgan Maple",2,"Acer","rubrum","","","","","Acer rubrum"
"7","Acer saccharinum","Acer","Acer saccharinum",NA,NA,"Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer saccharinum 'Lees Red'","Lee's Red",1,"Acer","saccharinum","","","","","Acer saccharinum"
"8","Acer saccharinum","Acer","Acer saccharinum",NA,NA,"Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer saccharinum","Silver Maple",227,"Acer","saccharinum","","","","","Acer saccharinum"
"9","Acer saccharinum","Acer","Acer saccharinum",NA,NA,"Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer saccharinum 'Laciniatum'","Weir's Maple",5,"Acer","saccharinum","","","","","Acer saccharinum"
"10","Acer saccharum","Acer","Acer saccharum",NA,NA,"Maple",NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1A",1,"Progenitor","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Acer saccharum","Sugar Maple",147,"Acer","saccharum","","","","","Acer saccharum"
"11","Acer spicatum","Acer","Acer spicatum",NA,NA,"Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer spicatum","Mountain Maple",1,"Acer","spicatum","","","","","Acer spicatum"
"12","Amelanchier alnifolia","Amelanchier","Amelanchier alnifolia",NA,NA,"Saskatoon",NA,"N","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier alnifolia","Saskatoon Serviceberry",2,"Amelanchier","alnifolia","","","","","Amelanchier alnifolia"
