GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
PGRC,G,Achillea millefolium,W,Canada,,,,British Columbia,
PGRC,G,Achillea millefolium,W,Canada,,,,British Columbia,
PGRC,G,Achillea millefolium,W,Canada,,,,British Columbia,
PGRC,G,Achillea millefolium,W,Canada,,,,British Columbia,
PGRC,G,Agrostis perennans,W,Canada,,,,Prince Edward Island,
PGRC,G,Agrostis perennans,W,Canada,,,,Prince Edward Island,
PGRC,G,Allium cernuum,W,Canada,,,,British Columbia,
PGRC,G,Amelanchier alnifolia,W,Canada,,,,Saskatchewan,
PGRC,G,Amelanchier alnifolia var. cusickii,W,Canada,,,,British Columbia,
PGRC,G,Amelanchier arborea,W,Canada,,,,Ontario,
PGRC,G,Amelanchier intermedia,W,Canada,,,,Nova Scotia,
PGRC,G,Amelanchier laevis,W,Canada,,,,Ontario,
PGRC,G,Amelanchier laevis,W,Canada,,,,Nova Scotia,
PGRC,G,Amelanchier spicata,W,Canada,,,,Nova Scotia,
PGRC,G,Astragalus americanus,W,Canada,,,,Alberta,
PGRC,G,Astragalus flexuosus,W,Canada,,,,Alberta,
PGRC,G,Astragalus flexuosus,W,Canada,,,,Alberta,
PGRC,G,Bromus ciliatus,W,Canada,,,,Ontario,
PGRC,G,Bromus kalmii,W,Canada,,,,Ontario,
PGRC,G,Elymus canadensis,W,Canada,,,,Alberta,
PGRC,G,Elymus canadensis,W,Canada,,,,Ontario,
PGRC,G,Festuca occidentalis,W,Canada,,,,British Columbia,
PGRC,G,Festuca subuliflora,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
PGRC,G,Fragaria ananassa subsp. cuneifolia,W,Canada,,,,British Columbia,
