GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amaranthus hybridus,,NA,,,,NA,
PGRC,G,Amelanchier alnifolia,,NA,,,,NA,
PGRC,G,Amelanchier alnifolia,,NA,,,,NA,
PGRC,G,Amelanchier alnifolia,,NA,,,,NA,
PGRC,G,Amelanchier alnifolia,,NA,,,,NA,
PGRC,G,Amelanchier alnifolia,,NA,,,,NA,
PGRC,G,Amelanchier alnifolia,,NA,,,,NA,
PGRC,G,Amelanchier spicata,W,Canada,PRESUMED,45.33755,-63.221036,Nova Scotia,
PGRC,G,Amelanchier spicata,,NA,,,,NA,
PGRC,G,Amelanchier spicata,,NA,,,,NA,
PGRC,G,Amelanchier spicata,W,Canada,PRESUMED,45.33755,-63.221036,Nova Scotia,
PGRC,G,Castanea dentata,W,Canada,PRESUMED,43.831125,-80.700975,Ontario,
PGRC,G,Castanea dentata,W,Canada,PRESUMED,43.831125,-80.700975,Ontario,
PGRC,G,Castanea dentata,W,Canada,PRESUMED,43.831125,-80.700975,Ontario,
PGRC,G,Castanea dentata,W,Canada,PRESUMED,43.831125,-80.700975,Ontario,
PGRC,G,Castanea dentata,W,Canada,PRESUMED,43.831125,-80.700975,Ontario,
PGRC,G,Elymus canadensis,,NA,,,,NA,
PGRC,G,Elymus canadensis,W,Canada,PRESUMED,43.831125,-80.700975,Ontario,
PGRC,G,Elymus canadensis,W,Canada,PRESUMED,51.021213,-114.032445,Alberta,
PGRC,G,Elymus canadensis,,NA,,,,NA,
PGRC,G,Elymus canadensis,,NA,,,,NA,
PGRC,G,Elymus canadensis,,NA,,,,NA,
PGRC,G,Elymus glaucus,,NA,,,,NA,
PGRC,G,Elymus lanceolatus,,NA,,,,NA,
PGRC,G,Elymus lanceolatus subsp. lanceolatus,,NA,,,,NA,
PGRC,G,Elymus lanceolatus subsp. lanceolatus,,NA,,,,NA,
PGRC,G,Elymus lanceolatus subsp. lanceolatus,,NA,,,,NA,
PGRC,G,Elymus lanceolatus subsp. lanceolatus,W,United States,,,,Wyoming,
PGRC,G,Elymus scribneri,W,United States,,,,Utah,
PGRC,G,Elymus sibiricus,,NA,,,,NA,
PGRC,G,Elymus sibiricus,,NA,,,,NA,
PGRC,G,Elymus sibiricus,,NA,,,,NA,
PGRC,G,Elymus sibiricus,,NA,,,,NA,
PGRC,G,Elymus sibiricus,,NA,,,,NA,
PGRC,G,Elymus sibiricus,,NA,,,,NA,
PGRC,G,Elymus sibiricus,,NA,,,,NA,
PGRC,G,Elymus sibiricus,,NA,,,,NA,
PGRC,G,Elymus sibiricus,,NA,,,,NA,
PGRC,G,Elymus sibiricus,,NA,,,,NA,
PGRC,G,Elymus villosus,,NA,,,,NA,
PGRC,G,Elymus virginicus,,NA,,,,NA,
PGRC,G,Elymus virginicus,,NA,,,,NA,
PGRC,G,Elymus virginicus,,NA,,,,NA,
PGRC,G,Elymus virginicus,,NA,,,,NA,
PGRC,G,Fragaria chiloensis,,NA,,,,NA,
PGRC,G,Fragaria chiloensis,W,Canada,PRESUMED,49.263754,-123.021183,British Columbia,
PGRC,G,Fragaria chiloensis subsp. pacifica,W,Canada,PRESUMED,49.263754,-123.021183,British Columbia,
PGRC,G,Fragaria chiloensis subsp. pacifica,W,Canada,PRESUMED,49.263754,-123.021183,British Columbia,
PGRC,G,Fragaria chiloensis subsp. pacifica,W,Canada,PRESUMED,49.263754,-123.021183,British Columbia,
PGRC,G,Fragaria chiloensis subsp. pacifica,W,Canada,PRESUMED,49.263754,-123.021183,British Columbia,
PGRC,G,Fragaria chiloensis subsp. pacifica,W,Canada,PRESUMED,49.263754,-123.021183,British Columbia,
