"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","Accession","Name","Taxonomy","Origin","Repository","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"1","Elymus lanceolatus subsp. lanceolatus","Elymus","Elymus lanceolatus","subsp.","lanceolatus","Wheat","Wild-rye","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","CN 39698","GC-73- 1","Elymus lanceolatus Scribn  J G Sm Gould subsp lanceolatus","Wyoming, United States","PGRC","Elymus","lanceolatus","","lanceolatus","subsp.","lanceolatus","Elymus lanceolatus"
"2","Elymus scribneri","Elymus","Elymus scribneri",NA,NA,"Wheat","Wild-rye","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","CN 39699","CS-8-41","Elymus scribneri Vasey M E Jones","Utah, United States","PGRC","Elymus","scribneri","","","","","Elymus scribneri"
"3","Fragaria chiloensis","Fragaria","Fragaria chiloensis",NA,NA,"Strawberry",NA,"N","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","Gene Transfer (F)","Crop Quality (AG)","High Yield (AG)","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 30607","PGR 1331","Fragaria chiloensis L Mill","California, United States","PGRC","Fragaria","chiloensis","","","","","Fragaria chiloensis"
"4","Fragaria virginiana","Fragaria","Fragaria virginiana",NA,NA,"Strawberry",NA,"N","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","Disease Resistance (B)","","","Crop Quality (AG)","High Yield (AG)","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 30608","PGR 1332","Fragaria virginiana Mill","Pennsylvania, United States","PGRC","Fragaria","virginiana","","","","","Fragaria virginiana"
"5","Hordeum brachyantherum","Hordeum","Hordeum brachyantherum",NA,NA,"Barley",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","CN 27822","CHC 1846","Hordeum brachyantherum Nevski","California, United States","PGRC","Hordeum","brachyantherum","","","","","Hordeum brachyantherum"
"6","Hordeum brachyantherum","Hordeum","Hordeum brachyantherum",NA,NA,"Barley",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","CN 278  ","CHC 1896","Hordeum brachyantherum Nevski","California, United States","PGRC","Hordeum","brachyantherum","","","","","Hordeum brachyantherum"
"7","Hordeum brachyantherum","Hordeum","Hordeum brachyantherum",NA,NA,"Barley",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","CN 27914","CHC 1974","Hordeum brachyantherum Nevski","Nevada, United States","PGRC","Hordeum","brachyantherum","","","","","Hordeum brachyantherum"
"8","Hordeum brachyantherum","Hordeum","Hordeum brachyantherum",NA,NA,"Barley",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","CN 2797 ","CHC 2049","Hordeum brachyantherum Nevski","Alaska, United States","PGRC","Hordeum","brachyantherum","","","","","Hordeum brachyantherum"
"9","Hordeum brachyantherum","Hordeum","Hordeum brachyantherum",NA,NA,"Barley",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","CN 2867 ","CHC 34 6","Hordeum brachyantherum Nevski","California, United States","PGRC","Hordeum","brachyantherum","","","","","Hordeum brachyantherum"
"10","Hordeum depressum","Hordeum","Hordeum depressum",NA,NA,"Barley",NA,"Y","Y","N","","N","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","CN 110436","CHC 3462","Hordeum depressum Scribn  J G Sm Rydb","California, United States","PGRC","Hordeum","depressum","","","","","Hordeum depressum"
