GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
NPGS,G,Alnus incana subsp. rugosa,W,Canada,,44.86666667,-76.76666667,Ontario,
NPGS,G,Astragalus laxmannii var. robustior,W,Canada,,,,Alberta,
NPGS,G,Astragalus miser var. serotinus,W,Canada,,,,British Columbia,
NPGS,G,Elymus lanceolatus subsp. psammophilus,W,Canada,,,,Canada,
NPGS,G,Fragaria chiloensis subsp. pacifica,W,Canada,,48.75,-125.5,British Columbia,
NPGS,G,Fragaria chiloensis subsp. pacifica,W,Canada,,48.75,-125.5,British Columbia,
NPGS,G,Fragaria vesca subsp. bracteata,W,Canada,,49.15,-124.5,British Columbia,
NPGS,G,Fragaria virginiana subsp. glauca,W,Canada,,49.63317,-114.9234,British Columbia,
NPGS,G,Fragaria virginiana subsp. glauca,W,Canada,,49.66556,-110.26139,Alberta,
NPGS,G,Fragaria virginiana subsp. glauca,W,Canada,,,,Alberta,
NPGS,G,Fragaria virginiana subsp. glauca,W,Canada,,49.6262,-114.66905,Alberta,
NPGS,G,Fragaria virginiana subsp. virginiana,W,Canada,,49.098678,-66.510428,Quebec,
NPGS,G,Fragaria virginiana subsp. virginiana,W,Canada,,49.098678,-66.510428,Quebec,
NPGS,G,Fragaria virginiana subsp. virginiana,W,Canada,,49.098678,-66.510428,Quebec,
NPGS,G,Fragaria virginiana subsp. virginiana,W,Canada,,45.33333,-75.83333,Ontario,
NPGS,G,Fragaria virginiana subsp. virginiana,W,Canada,,44.9125,-76.48889,Ontario,
NPGS,G,Fragaria virginiana subsp. virginiana,W,Canada,,49.098678,-66.510428,Quebec,
NPGS,G,Fragaria virginiana subsp. virginiana,W,Canada,,49.103556,-66.50911,Quebec,
NPGS,G,Fragaria virginiana subsp. virginiana,W,Canada,,49.098678,-66.510428,Quebec,
NPGS,G,Helianthus nuttallii subsp. rydbergii,W,Canada,,52.10138889,-100.7319444,Manitoba,
NPGS,G,Helianthus nuttallii subsp. rydbergii,W,Canada,,50.76972222,-99.49777778,Manitoba,
NPGS,G,Helianthus nuttallii subsp. rydbergii,W,Canada,,51.06916667,-99.93972222,Manitoba,
NPGS,G,Helianthus nuttallii subsp. rydbergii,W,Canada,,50.61472222,-99.34,Manitoba,
NPGS,G,Helianthus nuttallii subsp. rydbergii,W,Canada,,49.50861111,-104.2930556,Saskatchewan,
NPGS,G,Helianthus nuttallii subsp. rydbergii,W,Canada,,49.22972222,-102.2258333,Saskatchewan,
NPGS,G,Helianthus nuttallii subsp. rydbergii,W,Canada,,49.84194444,-101.28,Manitoba,
NPGS,G,Helianthus nuttallii subsp. rydbergii,W,Canada,,51.61611111,-102.3127778,Saskatchewan,
NPGS,G,Helianthus petiolaris subsp. petiolaris,W,Canada,,50.49583333,-107.7916667,Saskatchewan,
NPGS,G,Helianthus petiolaris subsp. petiolaris,W,Canada,,52.12861111,-106.9625,Saskatchewan,
NPGS,G,Helianthus petiolaris subsp. petiolaris,W,Canada,,50.4775,-109.4647222,Saskatchewan,
NPGS,G,Helianthus petiolaris subsp. petiolaris,W,Canada,,52.05638889,-107.5627778,Saskatchewan,
NPGS,G,Helianthus petiolaris subsp. petiolaris,W,Canada,,50.00305556,-109.4636111,Saskatchewan,
NPGS,G,Poa glauca subsp. glauca,W,Canada,,,,British Columbia,
NPGS,G,Poa pratensis subsp. pratensis,W,Canada,,,,Canada,
NPGS,G,Rubus idaeus subsp. strigosus,W,Canada,,,,British Columbia,
NPGS,G,Rubus idaeus subsp. strigosus,W,Canada,,55.9,-129.98333,British Columbia,
