GARDEN_CODE,INSTITUTION,TAXON,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
NPGS,G,Acer spicatum,W,United States,Minnesota,47.345,-91.21416667,,
NPGS,G,Agastache urticifolia,W,United States,United States,,,,
NPGS,G,Allium textile,W,United States,Wyoming,44.56313,-106.77362,,
NPGS,G,Amaranthus hybridus,W,United States,Arizona,31.79261,-110.74676,,
NPGS,G,Amaranthus tuberculatus,W,United States,Ohio,41.41666667,-83.875,,
NPGS,G,Balsamorhiza sagittata,W,United States,Nevada,39.73633,-119.94437,,
NPGS,G,Balsamorhiza sagittata,W,United States,Wyoming,42.73032,-108.8583,,
NPGS,G,Balsamorhiza sagittata,W,United States,United States,44.38558,-116.89832,,
NPGS,G,Betula lenta,W,United States,Ohio,38.67805556,-83.20611111,,
NPGS,G,Betula papyrifera,W,United States,Iowa,43.43694444,-91.64833333,,
NPGS,G,Bromus anomalus,W,United States,Wyoming,,,,
NPGS,G,Calamagrostis canadensis,W,United States,Alaska,64.78175,-163.79254,,
NPGS,G,Chenopodium berlandieri,W,United States,Utah,37.83694444,-109.1130556,,
NPGS,G,Chenopodium berlandieri,W,United States,Utah,41.250675,-111.785536,,
NPGS,G,Daucus pusillus,W,United States,California,33.22341667,-117.1419667,,
NPGS,G,Drymocallis glandulosa var. glandulosa,W,United States,Utah,40.38122,-111.15395,,
NPGS,G,Drymocallis glandulosa var. glandulosa,W,United States,Oregon,42.09583,-122.9075,,
NPGS,G,Elymus elymoides,W,United States,Utah,38.04513,-111.98675,,
NPGS,G,Elymus elymoides subsp. elymoides,W,United States,Oregon,43.023278,-118.122528,,
NPGS,G,Elymus glaucus,W,United States,Oregon,45.80611111,-117.8275,,
NPGS,G,Elymus glaucus,W,United States,Wyoming,,,,
NPGS,G,Elymus glaucus,W,United States,Oregon,45.88416667,-117.1086111,,
NPGS,G,Elymus glaucus,W,United States,California,,,,
NPGS,G,Elymus lanceolatus subsp. lanceolatus,W,United States,Idaho,,,,
NPGS,G,Elymus virginicus,W,United States,Oklahoma,,,,
NPGS,G,Festuca rubra,W,United States,Alaska,,,,
NPGS,G,Festuca rubra,W,United States,Alaska,,,,
NPGS,G,Fragaria ananassa subsp. cuneifolia,W,United States,Washington,,,,
NPGS,G,Fragaria ananassa subsp. cuneifolia,W,United States,California,41.5441,-121.9166,,
NPGS,G,Fragaria chiloensis subsp. pacifica,W,United States,Oregon,44.31093,-124.10758,,
NPGS,G,Fragaria vesca subsp. americana,W,United States,New Hampshire,,,,
NPGS,G,Fragaria vesca subsp. bracteata,W,United States,Oregon,42.11052,-122.70852,,
NPGS,G,Fragaria vesca subsp. bracteata,W,United States,Oregon,44.85318,-122.66097,,
NPGS,G,Fragaria vesca subsp. bracteata,W,United States,Oregon,44.77185,-122.56543,,
NPGS,G,Fragaria vesca subsp. vesca,W,United States,New Hampshire,,,,
NPGS,G,Fragaria virginiana subsp. glauca,W,United States,Oregon,42.16667,-123,,
NPGS,G,Fragaria virginiana subsp. glauca,W,United States,Montana,46,-110.33333,,
NPGS,G,Fragaria virginiana subsp. platypetala,W,United States,Oregon,,,,
NPGS,G,Fragaria virginiana subsp. virginiana,W,United States,North Carolina,36.29528,-79.62194,,
NPGS,G,Fragaria virginiana subsp. virginiana,W,United States,North Carolina,35.52194,-76.81389,,
NPGS,G,Fragaria virginiana subsp. virginiana,W,United States,Arkansas,34.07417,-93.17528,,
NPGS,G,Fragaria virginiana subsp. virginiana,W,United States,Minnesota,48.45,-93.16667,,
NPGS,G,Fragaria virginiana subsp. virginiana,W,United States,North Carolina,35.465,-80.29361,,
NPGS,G,Fragaria virginiana subsp. virginiana,W,United States,Alabama,32.65972,-85.57917,,
NPGS,G,Fragaria virginiana subsp. virginiana,W,United States,North Carolina,35.02895,-77.12879,,
NPGS,G,Fraxinus americana,W,United States,Illinois,40.45583333,-89.96111111,,
NPGS,G,Fraxinus americana,W,United States,New York,42.04,-79.459,,
NPGS,G,Fraxinus nigra,W,United States,Iowa,42.3975,-94.07583333,,
NPGS,G,Fraxinus pennsylvanica,W,United States,Illinois,40.12583333,-89.38888889,,
NPGS,G,Fraxinus pennsylvanica,W,United States,Minnesota,46.7390333,-95.9788333,,
NPGS,G,Hedysarum boreale subsp. boreale,W,United States,Utah,40.2023,-112.34358,,
NPGS,G,Helianthus annuus,W,United States,California,34.39916667,-118.9172222,,
NPGS,G,Helianthus annuus,W,United States,Wyoming,44.66666667,-105.75,,
NPGS,G,Helianthus annuus,W,United States,Utah,39.51916667,-112.375,,
NPGS,G,Helianthus annuus,W,United States,New Mexico,35.00666667,-105.9205556,,
NPGS,G,Helianthus annuus,W,United States,California,38.6786111,-121.7722222,,
NPGS,G,Helianthus annuus,W,United States,Colorado,40.48679,-105.09619,,
NPGS,G,Helianthus annuus,W,United States,Texas,29.64833333,-95.03222222,,
NPGS,G,Helianthus annuus,W,United States,New Mexico,32.18722222,-108.3333333,,
NPGS,G,Helianthus annuus,W,United States,Oklahoma,36.80874,-98.22242,,
NPGS,G,Helianthus annuus,W,United States,Texas,27.88333333,-97.16361111,,
NPGS,G,Helianthus annuus,W,United States,Nevada,38.95083333,-118.8102778,,
NPGS,G,Helianthus annuus,W,United States,California,37.7975,-120.9955556,,
NPGS,G,Helianthus annuus,W,United States,Arizona,35.8125,-110.1944444,,
NPGS,G,Helianthus annuus,W,United States,Montana,46.6,-108.5333333,,
NPGS,G,Helianthus annuus,W,United States,Oklahoma,36.86666667,-100.8666667,,
NPGS,G,Helianthus annuus,W,United States,Texas,28.2975,-96.93861111,,
NPGS,G,Helianthus annuus,W,United States,Utah,,,,
NPGS,G,Helianthus annuus,W,United States,United States,,,,
NPGS,G,Helianthus annuus,W,United States,California,35.00222222,-117.6475,,
NPGS,G,Helianthus annuus,W,United States,Tennessee,35.96055556,-83.92083333,,
NPGS,G,Helianthus annuus,W,United States,California,33.7825,-117.2277778,,
NPGS,G,Helianthus annuus,W,United States,Texas,34.25638889,-99.51638889,,
NPGS,G,Helianthus annuus,W,United States,California,38.55833333,-121.6744444,,
NPGS,G,Helianthus annuus,W,United States,California,35.37333333,-119.0177778,,
NPGS,G,Helianthus decapetalus,W,United States,Pennsylvania,41.48333333,-76.6,,
NPGS,G,Helianthus divaricatus,W,United States,Oklahoma,34.96666667,-94.71666667,,
NPGS,G,Helianthus giganteus,W,United States,Wisconsin,44.06666667,-88.98333333,,
NPGS,G,Helianthus giganteus,W,United States,Wisconsin,43.73333333,-88.81666667,,
NPGS,G,Helianthus pauciflorus subsp. subrhomboideus,W,United States,North Dakota,47.43333333,-98.11666667,,
NPGS,G,Helianthus petiolaris,W,United States,Nebraska,,,,
NPGS,G,Helianthus petiolaris subsp. petiolaris,W,United States,Montana,47.46666667,-114.85,,
NPGS,G,Helianthus petiolaris subsp. petiolaris,W,United States,Oklahoma,36.56341,-98.88941,,
NPGS,G,Helianthus petiolaris subsp. petiolaris,W,United States,Texas,34.255,-99.52,,
NPGS,G,Helianthus tuberosus,W,United States,South Dakota,42.91666667,-96.95,,
NPGS,G,Holodiscus discolor,W,United States,Oregon,42.26841667,-122.4905278,,
NPGS,G,Hordeum pusillum,W,United States,Kentucky,38.03333333,-84.46666667,,
NPGS,G,Leymus cinereus,W,United States,Utah,,,,
NPGS,G,Leymus cinereus,W,United States,Nevada,,,,
NPGS,G,Leymus cinereus,W,United States,Nevada,,,,
NPGS,G,Leymus cinereus,W,United States,Washington,47.47527778,-120.365,,
NPGS,G,Leymus cinereus,W,United States,Washington,46.48333333,-119.0166667,,
NPGS,G,Leymus cinereus,W,United States,Wyoming,,,,
NPGS,G,Leymus cinereus,W,United States,Nevada,41.36678,-119.8991,,
NPGS,G,Leymus cinereus,W,United States,United States,40.59068,-119.92237,,
NPGS,G,Leymus cinereus,W,United States,Washington,,,,
NPGS,G,Leymus cinereus,W,United States,Nevada,41.34883667,-119.3605061,,
NPGS,G,Linum lewisii,W,United States,Utah,,,,
NPGS,G,Linum lewisii,W,United States,United States,,,,
NPGS,G,Lomatium macrocarpum,W,United States,Oregon,42.10580556,-121.3515833,,
NPGS,G,Lomatium nudicaule,W,United States,Idaho,43.54626,-115.80215,,
NPGS,G,Lomatium triternatum,W,United States,Oregon,42.7,-118.9333333,,
NPGS,G,Magnolia acuminata,W,United States,West Virginia,38.95962,-79.233196,,
NPGS,G,Monarda fistulosa,W,United States,Kansas,38.879687,-94.89339,,
NPGS,G,Panicum virgatum,W,United States,New York,40.62472222,-74.17888889,,
NPGS,G,Panicum virgatum,W,United States,Michigan,42.651432,-84.611735,,
NPGS,G,Panicum virgatum,W,United States,Massachusetts,42.67666667,-70.75944444,,
NPGS,G,Panicum virgatum,W,United States,Florida,29.095,-80.97083333,,
NPGS,G,Panicum virgatum,W,United States,New York,42.36638889,-77.69055556,,
NPGS,G,Panicum virgatum,W,United States,New York,42.3775,77.37555556,,
NPGS,G,Panicum virgatum,W,United States,New Jersey,40.800735,-74.074609,,
NPGS,G,Panicum virgatum,W,United States,Florida,30.05361111,-84.38833333,,
NPGS,G,Poa pratensis,W,United States,Alaska,,,,
NPGS,G,Poa pratensis,W,United States,Alaska,,,,
NPGS,G,Poa pratensis,W,United States,Alaska,,,,
NPGS,G,Poa pratensis,W,United States,Alaska,,,,
NPGS,G,Poa secunda,W,United States,California,40.7671,-120.7322,,
NPGS,G,Poa secunda,W,United States,Nevada,41.15474,-114.96503,,
NPGS,G,Poa secunda,W,United States,Oregon,42.67427,-120.08911,,
NPGS,G,Poa secunda,W,United States,Oregon,41.88175,-113.92168,,
NPGS,G,Prunella vulgaris,W,United States,Iowa,41.99388889,-93.88444444,,
NPGS,G,Prunella vulgaris,W,United States,Missouri,40.36722222,-92.56111111,,
NPGS,G,Prunella vulgaris,W,United States,Oregon,44.5652,-123.332,,
NPGS,G,Ribes cereum,W,United States,Colorado,39.83333333,-105.6666667,,
NPGS,G,Ribes cereum,W,United States,Oregon,43,-121.5,,
NPGS,G,Ribes hudsonianum var. petiolare,W,United States,Idaho,43.4613,-113.5573,,
NPGS,G,Ribes sanguineum,W,United States,Oregon,,,,
NPGS,G,Ribes triste,W,United States,Alaska,61.16666667,-150.0833333,,
NPGS,G,Rubus allegheniensis,W,United States,Georgia,34.75,-83.66667,,
NPGS,G,Rubus idaeus subsp. strigosus,W,United States,Alaska,36,-94.08333,,
NPGS,G,Rubus idaeus subsp. strigosus,W,United States,Maine,,,,
NPGS,G,Rubus leucodermis,W,United States,Idaho,46.66667,-114.91667,,
NPGS,G,Rubus leucodermis,W,United States,Oregon,42.16667,-124,,
NPGS,G,Rubus leucodermis,W,United States,Oregon,44,-123.83333,,
NPGS,G,Rubus occidentalis,W,United States,New York,41.926,-73.5108,,
NPGS,G,Rubus occidentalis,W,United States,Minnesota,44.83333,-94.91667,,
NPGS,G,Rubus occidentalis,W,United States,Indiana,39.2242,-87.2212,,
NPGS,G,Rubus occidentalis,W,United States,Michigan,42.58333,-86,,
NPGS,G,Rubus spectabilis,W,United States,Alaska,60.54389,-145.75694,,
NPGS,G,Schoenoplectus acutus,W,United States,Oregon,43.07633333,-117.676,,
NPGS,G,Sorbus scopulina,W,United States,Wyoming,43.5,-110.75,,
NPGS,G,Typha latifolia,W,United States,Wyoming,41.50992,-109.45365,,
