"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","ACCESSION","NAME","TAXONOMY","ORIGIN","REPOSITORY","RECEIVED","COORDINATES","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"1","Acer spicatum","Acer","Acer spicatum",NA,NA,"Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","WLP 278","03-05 pellet","Acer spicatum Lam.","Minnesota, United States",NA,2004,"47.34500000, -91.21416667","Acer","spicatum","","","","","Acer spicatum"
"2","Agastache urticifolia","Agastache","Agastache urticifolia",NA,NA,"Hyssop",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Ames 31294","ID930-B23","Agastache urticifolia (Benth.) Kuntze","United States","NC7",2009,"","Agastache","urticifolia","","","","","Agastache urticifolia"
"3","Allium textile","Allium","Allium textile",NA,NA,"Allium",NA,"Y","Y","Y","wild onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","W6 47038","WY070-37","Allium textile A. Nelson & J. F. Macbr.","Wyoming, United States","W6",2014,"44.56313000, -106.77362000","Allium","textile","","","","","Allium textile"
"4","Amaranthus hybridus","Amaranthus","Amaranthus hybridus",NA,NA,"Amaranth",NA,"Y","Y","Y","greens and seeds used","N","Food","Cultural",NA,"Cereals and pseudocereals","Ornamental","",NA,"1A",1,"Progenitor","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 688207","AZ2010-13","Amaranthus hybridus L.","Arizona, United States","NC7",2010,"31.79261000, -110.74676000","Amaranthus","hybridus","","","","","Amaranthus hybridus"
"5","Amaranthus tuberculatus","Amaranthus","Amaranthus tuberculatus",NA,NA,"Amaranth",NA,"Y","Y","N","","Y","Food","Cultural",NA,"Cereals and pseudocereals","Ornamental","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","PI 603892","Pop 45","Amaranthus tuberculatus (Moq.) J. D. Sauer","Ohio, United States","NC7",1998,"41.41666667, -83.87500000","Amaranthus","tuberculatus","","","","","Amaranthus tuberculatus"
"6","Balsamorhiza sagittata","Balsamorhiza","Balsamorhiza sagittata",NA,NA,"Balsamroot",NA,"Y","N","Y","roots, greens, stems, seeds","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","W6 45661","NV030-596","Balsamorhiza sagittata (Pursh) Nutt.","Nevada, United States","W6",2013,"39.73633000, -119.94437000","Balsamorhiza","sagittata","","","","","Balsamorhiza sagittata"
"7","Balsamorhiza sagittata","Balsamorhiza","Balsamorhiza sagittata",NA,NA,"Balsamroot",NA,"Y","N","Y","roots, greens, stems, seeds","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","W6 47398","WY050-68","Balsamorhiza sagittata (Pursh) Nutt.","Wyoming, United States","W6",2014,"42.73032000, -108.85830000","Balsamorhiza","sagittata","","","","","Balsamorhiza sagittata"
"8","Balsamorhiza sagittata","Balsamorhiza","Balsamorhiza sagittata",NA,NA,"Balsamroot",NA,"Y","N","Y","roots, greens, stems, seeds","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","W6 49154","ID931-310","Balsamorhiza sagittata (Pursh) Nutt.","United States","W6",2015,"44.38558000, -116.89832000","Balsamorhiza","sagittata","","","","","Balsamorhiza sagittata"
"9","Betula lenta","Betula","Betula lenta",NA,NA,"Birch",NA,"Y","N","Y","leaves","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Ames 30360","JDC/BL/2009/105/255","Betula lenta L.","Ohio, United States","NC7",2009,"38.67805556, -83.20611111","Betula","lenta","","","","","Betula lenta"
"10","Betula papyrifera","Betula","Betula papyrifera",NA,NA,"Birch",NA,"Y","N","Y","leaves, twigs and sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Ames 27294","7","Betula papyrifera Marshall","Iowa, United States","NC7",2003,"43.43694444, -91.64833333","Betula","papyrifera","","","","","Betula papyrifera"
"11","Bromus anomalus","Bromus","Bromus anomalus",NA,NA,"Bromegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","PI 232197","","Bromus anomalus Rupr. ex E. Fourn.","Wyoming, United States","W6",1956,"","Bromus","anomalus","","","","","Bromus anomalus"
"12","Calamagrostis canadensis","Calamagrostis","Calamagrostis canadensis",NA,NA,"Bluejoint",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","W6 44034","AK930-223","Calamagrostis canadensis (Michx.) P. Beauv.","Alaska, United States","W6",2012,"64.78175000, -163.79254000","Calamagrostis","canadensis","","","","","Calamagrostis canadensis"
"13","Chenopodium berlandieri","Chenopodium","Chenopodium berlandieri",NA,NA,"Quinoa",NA,"N","Y","Y","lambsquarters; greens and seeds","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1B",1,"Secondary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 666283","BYU 720","Chenopodium berlandieri Moq.","Utah, United States","NC7",2008,"37.83694444, -109.11305556","Chenopodium","berlandieri","","","","","Chenopodium berlandieri"
"14","Chenopodium berlandieri","Chenopodium","Chenopodium berlandieri",NA,NA,"Quinoa",NA,"N","Y","Y","lambsquarters; greens and seeds","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1B",1,"Secondary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 612858","DB 99704","Chenopodium berlandieri Moq.","Utah, United States","NC7",2000,"41.25067500, -111.78553600","Chenopodium","berlandieri","","","","","Chenopodium berlandieri"
"15","Daucus pusillus","Daucus","Daucus pusillus",NA,NA,"Carrot",NA,"Y","Y","Y","american wild carrot; roots","Y","Food","",NA,"Vegetables","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 661250","SS35","Daucus pusillus Michx.","California, United States","NC7",2010,"33.22341667, -117.14196670","Daucus","pusillus","","","","","Daucus pusillus"
"16","Drymocallis glandulosa var. glandulosa","Drymocallis","Drymocallis glandulosa","var.","glandulosa","Strawberry",NA,"Y","Y","N","","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Ames 32455","POGL9-SOS-UT931-333-10","Drymocallis glandulosa (Lindl.) Rydb. var. glandulosa","Utah, United States","NC7",2012,"40.38122000, -111.15395000","Drymocallis","glandulosa","glandulosa","","var.","glandulosa","Drymocallis glandulosa"
"17","Drymocallis glandulosa var. glandulosa","Drymocallis","Drymocallis glandulosa","var.","glandulosa","Strawberry",NA,"Y","Y","N","","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Ames 31320","144496","Drymocallis glandulosa (Lindl.) Rydb. var. glandulosa","Oregon, United States","NC7",2008,"42.09583000, -122.90750000","Drymocallis","glandulosa","glandulosa","","var.","glandulosa","Drymocallis glandulosa"
"18","Elymus elymoides","Elymus","Elymus elymoides",NA,NA,"Wheat","Wild-rye","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","W6 48307","UT933-303","Elymus elymoides (Raf.) Swezey","Utah, United States","W6",2014,"38.04513000, -111.98675000","Elymus","elymoides","","","","","Elymus elymoides"
"19","Elymus elymoides subsp. elymoides","Elymus","Elymus elymoides","subsp.","elymoides","Wheat","Wild-rye","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","PI 693190","T-1565","Elymus elymoides (Raf.) Swezey subsp. elymoides","Oregon, United States","W6",2015,"43.02327800, -118.12252800","Elymus","elymoides","","elymoides","subsp.","elymoides","Elymus elymoides"
"20","Elymus glaucus","Elymus","Elymus glaucus",NA,NA,"Wheat","Wild-rye","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","W6 32932","G2-119","Elymus glaucus Buckley","Oregon, United States","W6",2008,"45.80611111, -117.82750000","Elymus","glaucus","","","","","Elymus glaucus"
