"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","NAME","COMMON.NAME","FAMILY","NATIVITY","NSC","LOCATION.and.QUANTITY","ACCN..","PT","LATITUDE","LONGITUDE","PSOURCE","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"1","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis","Pacific silver fir","Pinaceae","WNA (BC to Oregon)","!TC","22A (1)                                                 ","1985-0007"," "," "," ","Unknown","Abies","amabilis","","","","","Abies amabilis"
"2","Abies balsamea","Abies","Abies balsamea",NA,NA,"Fir",NA,"Y","N","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Abies balsamea","balsam fir","Pinaceae","N Amer","!TC","8 (1)                                                 ","1991-0683"," "," "," ","MontrealBG","Abies","balsamea","","","","","Abies balsamea"
"3","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis","grand fir","Pinaceae","WNA (BC to California)","!TC","15A (1), 13C (2)","1995-0452"," "," "," ","Misc.","Abies","grandis","","","","","Abies grandis"
"4","Abies grandis","Abies","Abies grandis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies grandis","grand fir","Pinaceae","WNA (BC to California)","!TC","22A (1)                                                 ","1974-0303"," "," "," ","Rose","Abies","grandis","","","","","Abies grandis"
"5","Abies lasiocarpa","Abies","Abies lasiocarpa",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies lasiocarpa","subalpine fir","Pinaceae","WNA (Alaska & BC to Wash)","!TC","24E (2), 83 (1)","1977-0122"," "," "," ","Watson, S","Abies","lasiocarpa","","","","","Abies lasiocarpa"
"6","Abies lasiocarpa","Abies","Abies lasiocarpa",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies lasiocarpa","subalpine fir","Pinaceae","WNA (Alaska & BC to Wash)","!TC","148 (1)                                                 ","1994-0009"," "," "," ","MBPL","Abies","lasiocarpa","","","","","Abies lasiocarpa"
"7","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","117 (2)                                                 ","1989-0503"," "," "," ","Dunlop","Acer","circinatum","","","","","Acer circinatum"
"8","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum 'Pacific Fire'","red-bark vine maple","Sapindaceae","Garden Origin","!TD","118 (4)                                                 ","2014-0020"," "," "," ","Cedar Rim","Acer","circinatum","","","","","Acer circinatum"
"9","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","135C (10), 135B (2)","1996-0301"," "," "," ","ReidCollins","Acer","circinatum","","","","","Acer circinatum"
"10","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","4 (2)                                                 ","2011-0269"," "," "," ","Linnaea","Acer","circinatum","","","","","Acer circinatum"
"11","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum [Pacific Purple] = 'JFS-Purple'","vine maple","Sapindaceae","Garden Origin","!TD","22A (1)                                                 ","2014-0139"," "," "," ","Linnaea","Acer","circinatum","","","","","Acer circinatum"
"12","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum 'Monroe'","cutleaf vine maple","Sapindaceae","Garden Origin","!SD","22A (1)                                                 ","1984-0543"," "," "," ","Costley","Acer","circinatum","","","","","Acer circinatum"
"13","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","96B (6), 81A (1), 81D (1), 80B (7)","2017-0331"," "," "," ","Misc.","Acer","circinatum","","","","","Acer circinatum"
"14","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","4 (1)                                                 ","1982-1007"," "," "," ","Simmons","Acer","circinatum","","","","","Acer circinatum"
"15","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","23B (1)                                                 ","1995-0444"," "," "," ","Plant Sale","Acer","circinatum","","","","","Acer circinatum"
"16","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","23B (1), 22B (1)","2012-0145"," "," "," ","Kato's","Acer","circinatum","","","","","Acer circinatum"
"17","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","24E (1)                                                 ","1976-0025"," "," "," ","Langara","Acer","circinatum","","","","","Acer circinatum"
"18","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","135C (10), 137C (5)","1995-0777"," "," "," ","Hutchinson","Acer","circinatum","","","","","Acer circinatum"
"19","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","15C (3)                                                 ","1975-0082"," "," "," ","Sunset","Acer","circinatum","","","","","Acer circinatum"
"20","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","22B (3), 24E (8), 23B (1)","1977-0533"," "," "," ","Collins","Acer","circinatum","","","","","Acer circinatum"
"21","Acer circinatum","Acer","Acer circinatum",NA,NA,"Maple",NA,"Y","Y","N","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Acer circinatum","vine maple","Sapindaceae","WNA","!TD","4 (2), 118 (8)","2009-0559"," "," "," ","Linnaea","Acer","circinatum","","","","","Acer circinatum"
"22","Acer glabrum","Acer","Acer glabrum",NA,NA,"Maple",NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer glabrum","Rocky Mountain maple","Sapindaceae","WNA","!TD","118 (1)                                                 ","1979-1577"," "," "," ","ReidCollins","Acer","glabrum","","","","","Acer glabrum"
"23","Acer glabrum var. douglasii","Acer","Acer glabrum","var.","douglasii","Maple",NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Acer glabrum var. douglasii","Douglas maple, Rocky Mountain maple","Sapindaceae","WNA (Ala & BC to Ore & Alta)","!TD","117 (1), 135C (2)","1996-0302"," "," "," ","ReidCollins","Acer","glabrum","douglasii","","var.","douglasii","Acer glabrum"
