SPECIES,PROVINCE,latitude,longitude,GARDEN_CODE,INSTITUTION,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,UNABLE_TO_ASSIGN_GEO_DISTR,CWR,WUS,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,total_CWRs_in_province,endemic_CWRs_in_province,total_WUS_in_province,endemic_WUS_in_province,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,scientificName
Abies amabilis,British Columbia,50.4,-126,PGRC,G,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,55.3166,-128.75,PGRC,G,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,50.05,-122.3667,PGRC,G,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,49.78333,-121.0833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,49.75,-125.25,PGRC,G,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,50.53333,-122.7833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,48.66667,-124.0833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
Abies amabilis,British Columbia,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,NA,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,142,47,299,107,25,15,10,Abies amabilis Douglas ex J.Forbes
