SPECIES,PROVINCE,PROVENANCE,LOCALITY,latitude,longitude,GARDEN_CODE,INSTITUTION,total_accessions,total_accessions_BG_or_G,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE,total_CWRs_in_province,endemic_CWRs_in_province,total_WUS_in_province,endemic_WUS_in_province
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,Mt. Elphinstone FSR,49.48356,-123.56923,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,Falls Lake,49.78333,-121.0833,PGRC,G,26,10,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
Abies amabilis,British Columbia,NA,"Chilliwack River Valley, Chipmunk Creek Service Road",49.203055,-121.863333,3,BG,26,16,Fir,Abies,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,,138,46,104,36
