SPECIES,TAXON,scientificName,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,CATEGORY,TIER,WUS,ROUNDED_N_RANK,ROUNDED_G_RANK,COSEWIC_DESC,CWR,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL
Abies amabilis,Abies amabilis,Abies amabilis Douglas ex J.Forbes,Fir,2,2,N,N5,G5,,Y,26,16,10,25,15,10,,Y,Abies,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Abies balsamea,Abies balsamea,Abies balsamea (L.) Mill.,Fir,2,2,Y,N5,G5,,Y,239,96,143,181,41,140,,Y,Abies,NA,NA,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Abies grandis,Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,Fir,2,2,N,N5,G5,,Y,24,10,14,15,2,13,,Y,Abies,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Abies lasiocarpa,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,Fir,2,2,N,NNR,G5,,Y,32,19,13,18,8,10,,Y,Abies,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Acer circinatum,Acer circinatum,Acer circinatum Pursh,Sugar Maple,1C,1,N,N5,G5,,Y,45,40,5,9,9,0,,Y,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant
Acer glabrum,Acer glabrum,Acer glabrum Torr.,Sugar Maple,1C,1,Y,N5,G5,,Y,23,13,10,9,8,1,Y,N,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant
Acer glabrum,Acer glabrum var. douglasii,Acer glabrum var. douglasii (Hook.) Dippel,Sugar Maple,1C,1,Y,N5,T5,,Y,23,13,10,9,8,1,Y,Y,Acer,var.,douglasii,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant
Acer macrophyllum,Acer macrophyllum,Acer macrophyllum Pursh,Sugar Maple,1C,1,Y,N5,G5,,Y,13,2,11,0,0,0,,Y,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant
Acer negundo,Acer negundo,Acer negundo L.,Sugar Maple,1C,1,Y,N5,G5,,Y,25,5,20,9,1,8,Y,N,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant
Acer negundo,Acer negundo var. negundo,Acer negundo var. negundo,Sugar Maple,1C,1,Y,NNR,T5,,Y,25,5,20,9,1,8,Y,Y,Acer,var.,negundo,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant
