TAXON_INFRA,TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,Canada_PGR_accessions_sp,NPGS_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,Canada_PGR_accessions_w_finest_taxon_res,NPGS_accessions_w_finest_taxon_res,SOURCE_OF_TAXON,WUS_SOURCE,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,scientificName,UNABLE_TO_ASSIGN_GEO_DISTR,GENETIC_RELATIONSHIP_NOTES,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION
Abies amabilis,Abies amabilis,Abies amabilis,2,Y,N,,Y,G5,N5,,26,16,10,10,0,25,15,10,10,0,Davidson 1995,,Fir,,Abies,NA,NA,Abies amabilis Douglas ex J.Forbes,,,,Y,Forage and Feed,,NA,Forest Resources,,,NA,NA,2,,,,,,,,,,,"AK(S3), CA(S2), OR(S5), WA(SNR)",BC(S5)
Abies balsamea,Abies balsamea,Abies balsamea,2,Y,Y,,Y,G5,N5,,236,96,143,140,3,181,41,140,140,0,Davidson 1995,Kuhnlein and Turner 2020,Fir,,Abies,NA,NA,Abies balsamea (L.) Mill.,,,needles,Y,Forage and Feed,,NA,Forest Resources,,,NA,NA,2,,,,,,,,,,,"CT(S1), IA(S1), MA(SNR), MD(S1), ME(S5), MI(SNR), MN(SNR), NH(SNR), NJ(S1), NY(S5), OH(SNR), PA(S3S4), RI(SNR), VA(S1), VT(SNR), WI(SNR), WV(S1)","AB(S5), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), ON(S5), PE(S5), QC(S5), SK(S5)"
Abies grandis,Abies grandis,Abies grandis,2,Y,N,,Y,G5,N5,,23,10,14,13,1,15,2,13,13,0,Davidson 1995,,Fir,,Abies,NA,NA,Abies grandis (Douglas ex D.Don) Lindl.,,,,Y,Forage and Feed,,NA,Forest Resources,,,NA,NA,2,,,,,,,,,,,"CA(SNR), ID(SNR), MT(S5), OR(S5), WA(SNR)",BC(S5)
Abies lasiocarpa,Abies lasiocarpa,Abies lasiocarpa,2,Y,N,,Y,G5,NNR,,29,19,13,10,3,18,8,10,10,0,Davidson 1995,,Fir,,Abies,NA,NA,Abies lasiocarpa (Hook.) Nutt.,,,,Y,Forage and Feed,,NA,Forest Resources,,,NA,NA,2,,,,,,,,,,,"AK(S4), AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S5), NM(SNR), NN(SNR), NV(S3S4), OR(S5), UT(SNR), WA(SNR), WY(SNR)","AB(SNR), BC(SNR), YT(SNR)"
Acer circinatum,Acer circinatum,Acer circinatum,1,Y,N,,Y,G5,N5,,40,40,5,0,5,9,9,0,0,0,Davidson 1995,,Sugar Maple,,Acer,NA,NA,Acer circinatum Pursh,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"AK(SNR), CA(SNR), OR(SNR), WA(SNR)",BC(S5)
Acer glabrum,Acer glabrum,Acer glabrum,1,Y,Y,Y,N,G5,N5,,14,13,10,1,9,0,0,1,0,1,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,NA,NA,Acer glabrum Torr.,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S5), NE(S3), NM(SNR), NN(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S4)","AB(S3), BC(S5)"
Acer glabrum var. douglasii,Acer glabrum var. douglasii,Acer glabrum,1,Y,Y,Y,Y,T5,N5,,14,13,10,1,9,9,8,1,1,0,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,var.,douglasii,Acer glabrum var. douglasii (Hook.) Dippel,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"AK(SNR), CA(SNR), ID(SNR), MT(SNR), NV(SNR), OR(SNR), WA(SNR), WY(SNR)","AB(S3), BC(S5)"
Acer macrophyllum,Acer macrophyllum,Acer macrophyllum,1,Y,Y,,Y,G5,N5,,2,2,11,0,11,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,NA,NA,Acer macrophyllum Pursh,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"CA(SNR), OR(S5), WA(SNR)",BC(S5)
Acer negundo var. negundo,Acer negundo,Acer negundo,1,Y,Y,Y,N,G5,N5,,13,5,20,8,12,9,1,8,8,0,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,NA,NA,Acer negundo L.,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(P4), IA(S5), ID(SNR), IL(SNR), IN(S5), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNA), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(S5), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NN(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNR), OR(SNR), PA(S5), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(SNR)","AB(SU), BC(SNA), MB(S5), NB(SNA), NS(SNA), NT(SNR), ON(S5), ON(S5), PE(SNA), QC(SNA), SK(S5), YT(SNA)"
Acer negundo var. negundo,Acer negundo var. negundo,Acer negundo,1,Y,Y,Y,Y,T5,NNR,,13,5,20,8,12,9,1,8,8,0,Davidson 1995,Kuhnlein and Turner 2020,Sugar Maple,,Acer,var.,negundo,Acer negundo var. negundo,,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DE(S5), FL(SNR), GA(S5), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(SNA), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5)","MB(SNR), NB(SNA), NS(SNA), ON(SU), PE(SNA), QC(SNA)"
