PRIMARY_ASSOCIATED_CROP_COMMON_NAME,TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC
Bentgrass,Agrostis scabra,Agrostis,Agrostis scabra,NA,NA
Alder,Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,tenuifolia
Alder,Alnus serrulata,Alnus,Alnus serrulata,NA,NA
Saskatoon,Amelanchier alnifolia var. humptulipensis,Amelanchier,Amelanchier alnifolia,var.,humptulipensis
Saskatoon,Amelanchier pumila,Amelanchier,Amelanchier pumila,NA,NA
Hog-peanut,Amphicarpaea bracteata var. bracteata,Amphicarpaea,Amphicarpaea bracteata,var.,bracteata
Hog-peanut,Amphicarpaea bracteata var. comosa,Amphicarpaea,Amphicarpaea bracteata,var.,comosa
Birch,Betula cordifolia,Betula,Betula cordifolia,NA,NA
Birch,Betula minor,Betula,Betula minor,NA,NA
Blue-beech,Carpinus caroliniana,Carpinus,Carpinus caroliniana,NA,NA
Blue-beech,Carpinus caroliniana subsp. virginiana,Carpinus,Carpinus caroliniana,subsp.,virginiana
Buttonbush,Cephalanthus occidentalis,Cephalanthus,Cephalanthus occidentalis,NA,NA
Dogwood,Cornus amomum subsp. obliqua,Cornus,Cornus amomum,subsp.,obliqua
Dogwood,Cornus nuttallii,Cornus,Cornus nuttallii,NA,NA
Hawthorn,Crataegus aquacervensis,Crataegus,Crataegus aquacervensis,NA,NA
Hawthorn,Crataegus atrovirens,Crataegus,Crataegus atrovirens,NA,NA
Hawthorn,Crataegus beata,Crataegus,Crataegus beata,NA,NA
Hawthorn,Crataegus brainerdii,Crataegus,Crataegus brainerdii,NA,NA
Hawthorn,Crataegus calpodendron,Crataegus,Crataegus calpodendron,NA,NA
Hawthorn,Crataegus canadensis,Crataegus,Crataegus canadensis,NA,NA
Hawthorn,Crataegus castlegarensis,Crataegus,Crataegus castlegarensis,NA,NA
Hawthorn,Crataegus chrysocarpa,Crataegus,Crataegus chrysocarpa,NA,NA
Hawthorn,Crataegus chrysocarpa var. blanchardii,Crataegus,Crataegus chrysocarpa,var.,blanchardii
Hawthorn,Crataegus chrysocarpa var. chrysocarpa,Crataegus,Crataegus chrysocarpa,var.,chrysocarpa
Hawthorn,Crataegus chrysocarpa var. faxonii,Crataegus,Crataegus chrysocarpa,var.,faxonii
Hawthorn,Crataegus chrysocarpa var. phoeniceoides,Crataegus,Crataegus chrysocarpa,var.,phoeniceoides
Hawthorn,Crataegus chrysocarpa var. piperi,Crataegus,Crataegus chrysocarpa,var.,piperi
Hawthorn,Crataegus chrysocarpa var. subrotundifolia,Crataegus,Crataegus chrysocarpa,var.,subrotundifolia
Hawthorn,Crataegus chrysocarpa var. vernonensis,Crataegus,Crataegus chrysocarpa,var.,vernonensis
Hawthorn,Crataegus chrysocarpa var. virgintistamina,Crataegus,Crataegus chrysocarpa,var.,virgintistamina
Hawthorn,Crataegus coccinea,Crataegus,Crataegus coccinea,NA,NA
Hawthorn,Crataegus coccinea var. coccinea,Crataegus,Crataegus coccinea,var.,coccinea
Hawthorn,Crataegus coccinea var. fulleriana,Crataegus,Crataegus coccinea,var.,fulleriana
Hawthorn,Crataegus coccinea var. pringlei,Crataegus,Crataegus coccinea,var.,pringlei
