ELEMENT_GLOBAL_ID,GLOBAL_UNIQUE_IDENTIFIER,ELEMENT_NATIONAL_ID,ELEMENT_CODE,CATEGORY,TAX_GROUP,GLOBAL_SCIENTIFIC_NAME,CLASSIFICATION_STATUS,GNAME_LEVEL,CONCEPT_REF_CODE,CONCEPT_REF_FULL,TAX_COM,GLOBAL_ENGL_NAME,GLOB_FR_NAME,GLOBAL_SYNONYMS,CA_NNAME_LEVEL,NATIONAL_SCIENTIFIC_NAME,NATIONAL_ENGL_NAME,NATIONAL_FR_NAME,NATIONAL_SYNONYMS,G_RANK,ROUNDED_G_RANK,G_RANK_CHANGE_DATE,G_RANK_REVIEW_DATE,N_RANK,ROUNDED_N_RANK,N_RANK_CHANGE_DATE,N_RANK_REVIEW_DATE,BCD_STYLE_N_RANK,SARA_STATUS,SARA_DATE,COSEWIC_ID,COSEWIC_DESC,COSEWIC_DATE,COSEWIC_SUMMARY,COSEWIC_NAME,GRANK_REASONS,CURRENT_CA_DISTRIBUTION,CURRENT_US_DISTRIBUTION
143719,2-143719,245440,PGPIN01010,Vascular Plant,Conifers,Abies amabilis,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Pacific Silver Fir,Sapin gracieux,,Species,Abies amabilis,Pacific Silver Fir,Sapin gracieux,,G5,G5,9/4/1997,6/13/2015,N5,N5,2/25/2001,10/25/2017,,,,,,,,,Moderately widespread in limited geographic range.,BC(S5),"AK(S3), CA(S2), OR(S5), WA(SNR)"
152370,2-152370,233529,PGPIN01020,Vascular Plant,Conifers,Abies balsamea,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Abies balsamea is a widespread species of Canada and the northeastern U.S., occurring southward in the Appalachians to West Virginia and adjacent northwestern Virginia. The similar Abies fraseri, of the high mountains of southern Virginia, North Carolina, and Tennessee, differs primarily in its longer, projecting cone-bracts. Plants intermediate between these two species have been called Abies balsamea var. phanerolepis or Abies x phanerolepis; opinions differ on whether they are relicts of the original divergence or recent interspecific hybrids; such plants occur in West Virginia and are reported irregularly northward as far as eastern Canada. LEM 10Aug00.",Balsam Fir,Sapin baumier,,Species,Abies balsamea,Balsam Fir,Sapin;  Sapin baumier,,G5,G5,11/3/1983,2/4/2016,N5,N5,11/10/1994,8/16/2020,,,,,,,,,,"AB(S5), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), ON(S5), PE(S5), QC(S5), SK(S5)","CT(S1), IA(S1), MA(SNR), MD(S1), ME(S5), MI(SNR), MN(SNR), NH(SNR), NJ(S1), NY(S5), OH(SNR), PA(S3S4), RI(SNR), VA(S1), VT(SNR), WI(SNR), WV(S1)"
146468,2-146468,243173,PGPIN01060,Vascular Plant,Conifers,Abies grandis,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Grand Fir,Sapin grandissime,,Species,Abies grandis,Grand Fir,Sapin grandissime,,G5,G5,5/16/1988,2/4/2016,N5,N5,2/9/2017,2/9/2017,,,,,,,,,,BC(S5),"CA(SNR), ID(SNR), MT(S5), OR(S5), WA(SNR)"
144815,2-144815,243373,PGPIN01070,Vascular Plant,Conifers,Abies lasiocarpa,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Following Kartesz (1994 checklist and 1999 floristic synthesis), both the Rocky Mountain and Pacific Northwest components are included here in a single species. The Flora of North America (vol. 2, 1993) considers A. bifolia of the Rocky Mountain region to be a separate species. Kartesz (1994 and 1999) recognizes var. arizonica in Ariz., N.Mex., and Colo.; this includes some but not all of the plants treated by FNA as A. bifolia. LEM 17May95, rev. 28Oct01 LEM.",Subalpine Fir,Sapin subalpin,,Species,Abies lasiocarpa,,,,G5,G5,8/3/1988,5/16/2016,NNR,NNR,7/19/2021,7/19/2021,NSYN,,,,,,,,Common and widespread in mountainous Western North America.,"AB(SNR), BC(SNR), YT(SNR)","AK(S4), AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S5), NM(SNR), NN(SNR), NV(S3S4), OR(S5), UT(SNR), WA(SNR), WY(SNR)"
137855,2-137855,203647,PGPIN010E0,Vascular Plant,Conifers,Abies lasiocarpa,Provisional,Species,B93FNA02HQUS,"Flora of North America Editorial Committee. 1993a. Flora of North America north of Mexico. Vol. 2. Pteridophytes and gymnosperms. Oxford Univ. Press, New York. xvi + 475 pp.",This is for the narrow treatment of Abies lasiocarpa. Excludes Abies bifolia following Hunt (1993; Flora of North America).,Subalpine Fir,Sapin subalpin,,Species,Abies lasiocarpa,Subalpine Fir,Sapin subalpin,,G5,G5,2/4/2016,2/4/2016,N5,N5,2/4/2016,2/4/2016,,,,,,,,,,"BC(S5), YT(S5)",
140940,2-140940,202501,PDACE01020,Vascular Plant,Dicots,Acer circinatum,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Vine Maple,Érable circiné,,Species,Acer circinatum,Vine Maple,Érable circiné,,G5,G5,8/30/2016,8/30/2016,N5,N5,2/20/2014,10/25/2017,,,,,,,,,,BC(S5),"AK(SNR), CA(SNR), OR(SNR), WA(SNR)"
138747,2-138747,202361,PDACE01050,Vascular Plant,Dicots,Acer glabrum,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Mountain Maple,Érable nain,,Species,Acer glabrum,Rocky Mountain Maple,Érable nain,,G5,G5,10/18/1999,6/27/2016,N5,N5,9/27/2016,9/27/2016,,,,,,,,,"Element occurs in wide range of wooded hillsides, ravines, and along streams.","AB(S3), BC(S5)","AK(SNR), AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S5), NE(S3), NM(SNR), NN(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S4)"
143580,2-143580,195133,PDACE01052,Vascular Plant,Dicots,Acer glabrum var. douglasii,Standard,Variety,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Douglas Maple,Érable de Douglas,,Variety,Acer glabrum var. douglasii,Douglas Maple,Érable de Douglas,,G5T5,T5,8/2/2002,5/16/2016,N5,N5,2/24/2014,12/19/2017,,,,,,,,,Element is widespread and occurs on lower elevation ridge tops to streambanks and meadows at higher elevations.,"AB(S3), BC(S5)","AK(SNR), CA(SNR), ID(SNR), MT(SNR), NV(SNR), OR(SNR), WA(SNR), WY(SNR)"
143337,2-143337,222786,PDACE01080,Vascular Plant,Dicots,Acer macrophyllum,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Bigleaf Maple,Érable à grandes feuilles,,Species,Acer macrophyllum,Big-leaved Maple,Érable à grandes feuilles,,G5,G5,10/18/1999,5/13/2016,N5,N5,2/20/2014,10/25/2017,,,,,,,,,,BC(S5),"CA(SNR), OR(S5), WA(SNR)"
157048,2-157048,239017,PDACE01090,Vascular Plant,Dicots,Acer negundo,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Box-elder,Érable à Giguère,,Species,Acer negundo,Manitoba Maple,Érable à Giguère,,G5,G5,2/9/1984,5/13/2016,N5,N5,8/8/2002,10/25/2017,,,,,,,,,,"AB(SU), BC(SNA), MB(S5), NB(SNA), NS(SNA), NT(SNR), ON(S5), ON(S5), PE(SNA), QC(SNA), SK(S5), YT(SNA)","AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(P4), IA(S5), ID(SNR), IL(SNR), IN(S5), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNA), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(S5), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NN(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNR), OR(SNR), PA(S5), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(SNR)"
