ELEMENT_GLOBAL_ID,GLOBAL_UNIQUE_IDENTIFIER,ELEMENT_NATIONAL_ID,ELEMENT_CODE,CATEGORY,TAX_GROUP,GLOBAL_SCIENTIFIC_NAME,CLASSIFICATION_STATUS,GNAME_LEVEL,CONCEPT_REF_CODE,CONCEPT_REF_FULL,TAX_COM,GLOBAL_ENGL_NAME,GLOB_FR_NAME,GLOBAL_SYNONYMS,CA_NNAME_LEVEL,NATIONAL_SCIENTIFIC_NAME,NATIONAL_ENGL_NAME,NATIONAL_FR_NAME,NATIONAL_SYNONYMS,G_RANK,ROUNDED_G_RANK,G_RANK_CHANGE_DATE,G_RANK_REVIEW_DATE,N_RANK,ROUNDED_N_RANK,N_RANK_CHANGE_DATE,N_RANK_REVIEW_DATE,BCD_STYLE_N_RANK,SARA_STATUS,SARA_DATE,COSEWIC_ID,COSEWIC_STATUS,COSEWIC_DESC,COSEWIC_DATE,INTERP_COSEWIC,INTERP_COSEWIC_DATE,COSEWIC_SUMMARY,COSEWIC_NAME,ENGLISH_COSEWIC_COM_NAME,FRENCH_COSEWIC_COM_NAME,GRANK_REASONS,CURRENT_CA_DISTRIBUTION,CURRENT_US_DISTRIBUTION
132050,2-132050,193749,PMPOA04120,Vascular Plant,Monocots,Agrostis scabra,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","Agrostis scabra is considered by Kartesz (1999), FNA (vol. 24, 2007) and in Soreng et al. (2003) to include A. geminata. This record is for the strict circumscription, excluding A. geminata.",Rough Bentgrass,Agrostide scabre,,Species,Agrostis scabra,Rough Bentgrass,Agrostide scabre,,G5,G5,10/1/1987,5/13/2016,NNR,NNR,11/15/2019,11/15/2019,NSYN,,,,,,,,,,,,,,"AB(S5), BC(SNR), LB(SNR), MB(SNR), NB(SNR), NF(SNR), NS(SNR), NT(SNR), NU(SNR), ON(SNR), PE(SNR), QC(S5?), SK(SNR), YT(SNR)","AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), GS(P2), IA(SNR), ID(SNR), IL(S3S4), IN(S3?), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S3), MO(S1), MT(S4S5), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NM(SNR), NN(SNR), NV(SNR), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S3?), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(SNR)"
130447,2-130447,229394,PDBET01022,Vascular Plant,Dicots,Alnus incana ssp. tenuifolia,Standard,Subspecies,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Mountain Alder,Aulne à feuilles minces,"Alnus rugosa var. occidentalis, Alnus tenuifolia",Subspecies,Alnus incana ssp. tenuifolia,Mountain Alder,Aulne à feuilles minces,"Alnus rugosa var. occidentalis, Alnus tenuifolia",G5T5,T5,3/2/1995,9/23/2015,N5,N5,2/7/2010,12/19/2017,,,,,,,,,,,,,,,"AB(S5), BC(S5), NT(SNR), SK(S4), YT(S5)","AK(SNR), AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(SNR), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(SNR)"
138391,2-138391,222039,PDBET01070,Vascular Plant,Dicots,Alnus serrulata,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,Brookside Alder,Aulne tendre,,Species,Alnus serrulata,Smooth Alder,Aulne tendre,,G5,G5,9/19/1983,9/23/2015,N3,N3,8/7/2011,10/25/2017,,,,,,,,,,,,,,,"NB(S2), NS(S3), QC(S2)","AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5), GS(P4), IL(S3?), IN(S4S5), KS(SH), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WV(S5)"
138647,2-138647,223851,PDROS05013,Vascular Plant,Dicots,Amelanchier alnifolia var. humptulipensis,Standard,Variety,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","FNA (vol. 9, 2014) includes Amelanchier alnifolia var. humptuliensis in A. alnifolia var. semiintegrifolia.",Saskatoon Serviceberry,,,Variety,Amelanchier alnifolia var. humptulipensis,,,,G5T4T5,T4,12/4/2001,12/4/2001,NNR,NNR,8/8/1993,,NSYN,,,,,,,,,,,,,"Amelanchier alnifolia var. humptulipensis occurs only west of the Cascades, where it is occasional from southern British Columbia to southwestern Washington (Hitchcock et al. 1961; cf. Douglas et al. 1991). George Douglas of the British Columbia CDC believes this is a T4T5.",BC(SNR),WA(SNR)
145090,2-145090,874060,PDROS050B0,Vascular Plant,Dicots,Amelanchier pumila,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","FNA (vol. 9, 2014) includes Amelanchier pumila as a variety of A. alnifolia (A. alnifolia var. pumila).",Dwarf Serviceberry,Amélanchier nain,Amelanchier alnifolia var. pumila,Variety,Amelanchier alnifolia var. pumila,Dwarf Serviceberry,Amélanchier nain,Amelanchier pumila,G5,G5,7/29/1988,7/29/1988,NNR,NNR,,,,,,,,,,,,,,,,,AB(SU),"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(SNR), NM(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3S4)"
136178,2-136178,219121,PDFAB09012,Vascular Plant,Dicots,Amphicarpaea bracteata var. bracteata,Standard,Variety,B99KAR01HQUS,"Kartesz, J.T. 1999. A synonymized checklist and atlas with biological attributes for the vascular flora of the United States, Canada, and Greenland. First edition. In: Kartesz, J.T., and C.A. Meacham. Synthesis of the North American Flora, Version 1.0. North Carolina Botanical Garden, Chapel Hill, N.C.",,American Hog-peanut,,,Variety,Amphicarpaea bracteata var. bracteata,,,,G5T5,T5,8/20/2002,8/20/2002,NNR,NNR,4/17/2001,,NSYN,,,,,,,,,,,,,,"NB(SNR), NS(SNR), ON(SNR), QC(SNR)","AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(S2), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(SNR), ND(SNR), NH(SNR), NJ(S5), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(SNR), VT(SNR), WI(SNR), WV(SNR)"
147609,2-147609,220316,PDFAB09011,Vascular Plant,Dicots,Amphicarpaea bracteata var. comosa,Standard,Variety,B99KAR01HQUS,"Kartesz, J.T. 1999. A synonymized checklist and atlas with biological attributes for the vascular flora of the United States, Canada, and Greenland. First edition. In: Kartesz, J.T., and C.A. Meacham. Synthesis of the North American Flora, Version 1.0. North Carolina Botanical Garden, Chapel Hill, N.C.",,Hog-peanut,,,Variety,Amphicarpaea bracteata var. comosa,,,,G5T5?,T5,8/20/2002,8/20/2002,NNR,NNR,6/11/2001,,NSYN,,,,,,,,,,,,,,"MB(SNR), ON(SNR), QC(SNR)","AR(SNR), CT(SNR), DE(S4), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S4?), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(SNR), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(SNR), VT(SNR), WI(SNR), WV(SNR)"
158851,2-158851,232180,PDBET020C2,Vascular Plant,Dicots,Betula papyrifera var. cordifolia,Standard,Variety,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","FNA, 1997 (vol. 3) elevates Betula papyrifera var. cordifolia to full species as Betula cordifolia.",Heartleaf Paper Birch,Bouleau à feuilles cordées,Betula cordifolia,Species,Betula cordifolia,Heart-leaved Birch,Bouleau à feuilles cordées,Betula papyrifera var. cordifolia,G5T5,T5,2/18/1993,9/23/2015,N5,N5,2/22/2012,10/25/2017,,,,,,,,,,,,,,,"LB(S4S5), NB(S5), NF(S4S5), NS(S5), ON(S4?), PE(S2S3), QC(S5?)","CT(SNR), GS(P1), IA(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NC(S1), ND(SNR), NH(SNR), NJ(SNR), NY(S3), PA(SNR), TN(S1), TV(SNR), VA(S2), VT(SNR), WI(SNR), WV(S1)"
133323,2-133323,223045,PDBET02070,Vascular Plant,Dicots,Betula minor,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.","In Quebec, Betula minor sensu lato is a confusing species that has been treated as different species and hybrids. It has been treated as B. saxophila Lepage, B. borealis Spach in part, B. occidentalis Hook. sensu Boivin (1966) and Scoggin (1978-1979), Betula x minor sensu Lepage (B. saxophila x B. papyrifera), Betula x ungavensis Lepage (B. glandulosa x B. papyrifera) and Betula x minor sensu Cronquist (B. papyrifera var. cordifolia x B. glandulosa). Ernest Lepage, a Canadian botanist now deceased, revised the shrubby species of birch in Canada and regarded B. minor as either B. saxophila or Betula x minor. He did not look at specimens from New York or New England. He was considered a splitter and his hybrids were contested by botanists in Quebec City and Ottawa. There is even disagreement within his own treatment (see Lavoie & Morisset 1987). In Quebec City and Newfoundland, Canadian botanists have found that Betula minor s.l. does not always occur with supposed parent species. It is seen alone and reproduces on its own. Boivin (1966) considers it possible that B. occidentalis in the west and B. minor in the east may all be the same species. Therefore it would be difficult to say exactly which taxon the U.S. specimens represent. Kartesz (1999) accepts Betula minor as a species from eastern Canada and adjacent U.S. states.",Dwarf White Birch,Bouleau mineur,Betula x minor,Species,Betula minor,Dwarf White Birch,Bouleau mineur,Betula x minor,G4G5Q,G4,9/23/2015,9/23/2015,N4N5,N4,2/22/2012,10/25/2017,,,,,,,,,,,,,,With this species considered in the broad sense there are at least 130-140 occurrences. The taxon is not rare in Quebec but some of the U.S. occurrences are under threat. Taxonomically questionable. It may be eventually segregated into different species or hybrids.,"LB(S4S5), NB(S2), NF(S2S3), NS(S1S2), ON(S1?), QC(S4)","ME(S1), NH(S2), NY(S1), VT(S1)"
149194,2-149194,207478,PDBET03010,Vascular Plant,Dicots,Carpinus caroliniana,Standard,Species,B94KAR01HQUS,"Kartesz, J.T. 1994. A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland, OR.",,American Hornbeam,"Charme de Caroline,  Charme de Virginie",,Species,Carpinus caroliniana,Blue-beech,Charme de Caroline,,G5,G5,2/29/1984,9/24/2015,N5,N5,2/7/2010,10/26/2017,,,,,,,,,,,,,,,"ON(S5), QC(SNR)","AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(SNR), GS(P5), IA(S4), IL(S5), IN(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)"
